Sp,Lp,Ip,Sv,Iv
0.65,0.25,0.1,0.5,0.5
0.630219,0.255009,0.114772,0.50995,0.49005
0.61489,0.258576,0.126535,0.518896,0.481104
0.629197,0.256022,0.114781,0.526941,0.473059
0.678648,0.245866,0.0754864,0.534187,0.465813
0.663537,0.250375,0.0860875,0.540728,0.459272
0.697411,0.241858,0.0607315,0.546608,0.453392
0.720174,0.234701,0.0451249,0.551914,0.448086
0.728392,0.231653,0.0399548,0.556698,0.443302
0.710727,0.238933,0.0503396,0.561006,0.438994
0.681041,0.249743,0.0692164,0.564877,0.435123
0.686275,0.248209,0.0655154,0.56835,0.43165
0.67676,0.251202,0.072038,0.571478,0.428522
0.646362,0.260151,0.0934866,0.574289,0.425711
0.58712,0.274879,0.138001,0.576806,0.423194
0.558849,0.280065,0.161086,0.579046,0.420954
0.590111,0.27433,0.135559,0.581048,0.418952
0.542164,0.283407,0.174429,0.582865,0.417135
0.531059,0.284772,0.184169,0.584477,0.415523
0.569604,0.278275,0.152121,0.585921,0.414079
0.496971,0.290953,0.212076,0.58724,0.41276
0.509677,0.288523,0.2018,0.588391,0.411609
0.471533,0.293501,0.234966,0.589434,0.410566
0.467415,0.293294,0.23929,0.590352,0.409648
0.468587,0.29239,0.239023,0.591175,0.408825
0.477753,0.290474,0.231773,0.591916,0.408084
0.437409,0.295025,0.267566,0.592588,0.407412
0.370848,0.301908,0.327244,0.59317,0.40683
0.319423,0.30587,0.374707,0.593659,0.406341
0.445442,0.293312,0.261247,0.594071,0.405929
0.437343,0.293436,0.26922,0.594509,0.405491
0.461296,0.289815,0.248888,0.594898,0.405102
0.447753,0.290713,0.261535,0.59526,0.40474
0.390432,0.296628,0.312939,0.595578,0.404422
0.341658,0.300551,0.357791,0.595834,0.404166
0.295763,0.303498,0.400738,0.596037,0.403963
0.36009,0.296733,0.343177,0.596195,0.403805
0.329186,0.298483,0.37233,0.596371,0.403629
0.327772,0.297341,0.374887,0.596512,0.403488
0.347109,0.294406,0.358485,0.596637,0.403363
0.301293,0.297332,0.401376,0.596759,0.403241
0.331435,0.293526,0.375039,0.596844,0.403156
0.395095,0.286864,0.318041,0.596936,0.403064
0.35016,0.290295,0.359545,0.597052,0.402948
0.325229,0.291366,0.383405,0.597132,0.402868
0.245589,0.296778,0.457633,0.59719,0.40281
0.23654,0.295878,0.467582,0.597198,0.402802
0.202007,0.296731,0.501262,0.597199,0.402801
0.256717,0.291406,0.451877,0.59718,0.40282
0.264993,0.28935,0.445657,0.597192,0.402808
0.299629,0.28544,0.414931,0.597206,0.402794
0.315941,0.282943,0.401116,0.597238,0.402762
0.289518,0.283819,0.426663,0.597275,0.402725
0.262862,0.284502,0.452636,0.597292,0.402708
0.29204,0.281081,0.426879,0.597293,0.402707
0.346435,0.275866,0.377699,0.597308,0.402692
0.390102,0.27135,0.338548,0.597352,0.402648
0.421978,0.267744,0.310278,0.597415,0.402585
0.368715,0.272042,0.359243,0.597488,0.402512
0.392834,0.269141,0.338025,0.597524,0.402476
0.482279,0.260578,0.257144,0.59757,0.40243
0.483949,0.259969,0.256082,0.597659,0.402341
0.591928,0.247868,0.160204,0.59774,0.40226
0.663408,0.236679,0.0999131,0.597871,0.402129
0.688867,0.231203,0.0799303,0.598024,0.401976
0.724322,0.222267,0.0534116,0.598174,0.401826
0.697015,0.231483,0.0715023,0.598324,0.401676
0.682312,0.235721,0.0819675,0.598449,0.401551
0.676996,0.237197,0.0858069,0.598555,0.401445
0.664157,0.240492,0.0953508,0.598648,0.401352
0.689743,0.234648,0.0756092,0.598726,0.401274
0.665897,0.241208,0.0928951,0.598808,0.401192
0.677936,0.238424,0.08364,0.598872,0.401128
0.663705,0.242124,0.0941709,0.598935,0.401065
0.697014,0.234351,0.0686341,0.598985,0.401015
0.671246,0.241901,0.0868535,0.599045,0.400955
0.690457,0.237148,0.0723947,0.599089,0.400911
0.651716,0.248109,0.100175,0.599136,0.400864
0.608629,0.257937,0.133434,0.599163,0.400837
0.564521,0.266078,0.169401,0.599167,0.400833
0.584379,0.262651,0.15297,0.599148,0.400852
0.577263,0.263645,0.159093,0.599142,0.400858
0.584418,0.262222,0.15336,0.599132,0.400868
0.606805,0.25821,0.134985,0.599127,0.400873
0.602802,0.258814,0.138385,0.599134,0.400866
0.612268,0.256932,0.130801,0.599137,0.400863
0.577001,0.263515,0.159484,0.599145,0.400855
0.634084,0.253862,0.112054,0.599135,0.400865
0.64067,0.252379,0.10695,0.599155,0.400845
0.678393,0.244017,0.0775897,0.599175,0.400825
0.688508,0.241244,0.0702482,0.599211,0.400789
0.658713,0.249911,0.0913759,0.599248,0.400752
0.640917,0.254244,0.104838,0.599268,0.400732
0.657747,0.250373,0.0918795,0.599279,0.400721
0.660333,0.249682,0.0899851,0.599296,0.400704
0.698469,0.240134,0.0613971,0.599312,0.400688
0.713232,0.235393,0.0513746,0.599344,0.400656
0.70824,0.237107,0.0546533,0.599379,0.400621
0.714949,0.234768,0.0502823,0.599408,0.400592
0.691659,0.243055,0.0652862,0.599437,0.400563
0.714588,0.23594,0.0494711,0.599454,0.400546
0.718399,0.234478,0.0471229,0.599479,0.400521
0.706442,0.233707,0.0598508,0.599503,0.400497
0.707777,0.233318,0.0589045,0.599517,0.400483
0.724398,0.228012,0.0475892,0.59953,0.40047
0.703333,0.230615,0.0660517,0.599548,0.400452
0.694435,0.233349,0.0722152,0.599554,0.400446
0.680124,0.237445,0.0824318,0.599555,0.400445
0.672624,0.239455,0.0879214,0.59955,0.40045
0.692621,0.234621,0.0727575,0.599543,0.400457
0.683108,0.237361,0.0795308,0.599545,0.400455
0.677734,0.238856,0.0834103,0.599543,0.400457
0.671781,0.240448,0.0877711,0.599538,0.400462
0.652496,0.245268,0.102235,0.599532,0.400468
0.653115,0.245154,0.101731,0.599517,0.400483
0.664459,0.242642,0.0928991,0.599505,0.400495
0.697655,0.23479,0.0675553,0.599498,0.400502
0.694057,0.230107,0.0758363,0.599508,0.400492
0.679843,0.228145,0.092012,0.599512,0.400488
0.659691,0.232986,0.107323,0.599506,0.400494
0.62415,0.240495,0.135355,0.599491,0.400509
0.70197,0.226948,0.0710828,0.59946,0.40054
0.708905,0.219471,0.0716242,0.599472,0.400528
0.734133,0.207377,0.05849,0.599482,0.400518
0.733595,0.202821,0.063584,0.599498,0.400502
0.700295,0.207349,0.0923554,0.59951,0.40049
0.655167,0.211687,0.133146,0.599504,0.400496
0.59002,0.222551,0.187429,0.599474,0.400526
0.583383,0.223604,0.193013,0.599414,0.400586
0.540428,0.229032,0.230541,0.599357,0.400643
0.546445,0.22843,0.225124,0.599283,0.400717
0.612653,0.22133,0.166018,0.59922,0.40078
0.571822,0.227231,0.200947,0.599198,0.400802
0.531668,0.232151,0.236181,0.599158,0.400842
0.567614,0.228355,0.204032,0.599101,0.400899
0.565053,0.228774,0.206173,0.599069,0.400931
0.570547,0.228237,0.201216,0.599038,0.400962
0.576197,0.227688,0.196115,0.599014,0.400986
0.61291,0.22336,0.16373,0.598995,0.401005
0.564555,0.230408,0.205037,0.598997,0.401003
0.520517,0.235711,0.243772,0.598975,0.401025
0.463157,0.241571,0.295272,0.598931,0.401069
0.490757,0.238799,0.270444,0.598861,0.401139
0.48169,0.239464,0.278846,0.598813,0.401187
0.469678,0.240348,0.289974,0.598765,0.401235
0.44056,0.242692,0.316749,0.598715,0.401285
0.491187,0.238048,0.270765,0.598654,0.401346
0.543028,0.232927,0.224044,0.598626,0.401374
0.575536,0.229344,0.19512,0.598629,0.401371
0.618454,0.224185,0.15736,0.59865,0.40135
0.652997,0.21943,0.127572,0.598691,0.401309
0.646991,0.214452,0.138557,0.598745,0.401255
0.661764,0.206235,0.132001,0.598788,0.401212
0.645712,0.203735,0.150553,0.59883,0.40117
0.659838,0.196702,0.143461,0.598857,0.401143
0.681489,0.188893,0.129618,0.598885,0.401115
0.723762,0.178242,0.0979962,0.598919,0.401081
0.765286,0.167059,0.067655,0.598968,0.401032
0.751739,0.16702,0.0812411,0.599031,0.400969
0.76259,0.161636,0.075774,0.599079,0.400921
0.783573,0.154361,0.0620662,0.599126,0.400874
0.772756,0.154189,0.0730545,0.599176,0.400824
0.782367,0.14952,0.0681123,0.599215,0.400785
0.749856,0.153744,0.0964002,0.599252,0.400748
0.781996,0.145722,0.072282,0.599269,0.400731
0.797697,0.140243,0.0620601,0.599299,0.400701
0.787137,0.140322,0.0725417,0.599332,0.400668
0.799056,0.135844,0.0651002,0.599355,0.400645
0.766395,0.140331,0.0932742,0.599381,0.400619
0.763547,0.138402,0.098051,0.599387,0.400613
0.759339,0.136694,0.103967,0.599389,0.400611
0.767193,0.133345,0.0994621,0.599388,0.400612
0.802024,0.126403,0.0715722,0.59939,0.40061
0.809484,0.123375,0.067141,0.599408,0.400592
0.841088,0.11609,0.0428222,0.599427,0.400573
0.877912,0.105868,0.0162198,0.599458,0.400542
0.87982,0.104257,0.0159229,0.599503,0.400497
0.871567,0.107152,0.0212815,0.599543,0.400457
0.863573,0.10933,0.027097,0.599576,0.400424
0.854505,0.111367,0.0341281,0.599602,0.400398
0.874143,0.104848,0.0210095,0.599621,0.400379
0.880046,0.101888,0.0180663,0.599647,0.400353
0.887354,0.0982838,0.0143623,0.599671,0.400329
0.88455,0.0989838,0.0164658,0.599695,0.400305
0.884732,0.0983313,0.0169366,0.599716,0.400284
0.878686,0.100252,0.0210618,0.599734,0.400266
0.888712,0.0960043,0.0152834,0.599748,0.400252
0.87761,0.100273,0.0221166,0.599764,0.400236
0.879053,0.0991529,0.0217937,0.599775,0.400225
0.87909,0.0985628,0.0223474,0.599784,0.400216
0.882674,0.0967672,0.0205585,0.599792,0.400208
0.872882,0.0997908,0.0273275,0.599801,0.400199
0.871062,0.0997422,0.0291962,0.599804,0.400196
0.888998,0.0939395,0.0170625,0.599806,0.400194
0.877198,0.0982003,0.0246017,0.599815,0.400185
0.886947,0.0945049,0.0185486,0.599819,0.400181
0.879546,0.0968711,0.023583,0.599826,0.400174
0.891968,0.0922776,0.0157539,0.599829,0.400171
0.900143,0.0885333,0.0113232,0.599837,0.400163
0.892371,0.0919805,0.0156483,0.599846,0.400154
0.888758,0.0948314,0.0164106,0.599852,0.400148
