"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"theta[1]",0.00990677420293531,3.09937454524473e-07,9.2094493199771e-05,0.00966003431186415,0.00986996283034891,0.00993483893546341,0.0099731505674558,0.00999769977940615,88291.5621199698,0.999982679689185
"theta[2]",0.01,0,0,0.01,0.01,0.01,0.01,0.01,4.00054552893512,0.999909086776484
"theta[3]",0.01,0,0,0.01,0.01,0.01,0.01,0.01,4.00054552893512,0.999909086776484
"theta[4]",0.0500002524690873,8.45056383959037e-10,2.51137018793598e-07,0.050000006424137,0.0500000733556133,0.050000176200148,0.0500003478565684,0.0500009301452711,88318.1767958505,0.999994398153242
"theta[5]",0.0051602574030022,9.63971246294683e-06,0.00284707379071125,0.000363475492668958,0.00273509220883901,0.00519037306818419,0.00762787841460796,0.00976904154506923,87230.6858584447,1.00001982024164
"theta[6]",0.06,0,0,0.06,0.06,0.06,0.06,0.06,4.00054552893512,0.999909086776484
"theta[7]",0.06,0,0,0.06,0.06,0.06,0.06,0.06,4.00054552893512,0.999909086776484
"theta[8]",0.743534770225867,2.1670182512527e-05,0.00642032360915456,0.726271450259279,0.741003820526196,0.745506554455673,0.748150305545373,0.749836378403827,87778.6099849931,1.0000132725574
"theta[9]",0.500425638366181,0.000486674418664515,0.14418134963361,0.262509958191613,0.375382822735594,0.500482883162514,0.625097986718505,0.737314793880794,87768.997006375,0.999985685586101
"R_0",0.0355015358480257,6.63346391452886e-05,0.0195917290825248,0.00249679118224719,0.0188092753373005,0.0357266414120561,0.0524712418391485,0.0672156291761477,87229.782865356,1.00002017089758
"y_init[1]",0.950038400415207,1.30061908606099e-07,3.82677011341057e-05,0.950000960165508,0.950011040751933,0.95002660811725,0.950053351520274,0.950141449798644,86569.4187198438,1.00002471098876
"y_init[2]",0.0499615995847933,1.30061908606058e-07,3.82677011341056e-05,0.0498585502013557,0.049946648479726,0.0499733918827498,0.049988959248067,0.0499990398344921,86569.4187198988,1.00002471098876
"y_init[3]",0,NA,0,0,0,0,0,0,NA,NA
"y_init[4]",0.00500254645828661,9.840233388788e-06,0.00288189959374059,0.00026213262020672,0.00250867088195262,0.00500641604925036,0.00750416007495561,0.00974977407897749,85772.2679112602,0.999978651227583
"y_init[5]",0.0099220497332585,2.01208516401072e-07,5.93210228380247e-05,0.00977983599471563,0.00988777085304606,0.00993405505073378,0.009969113846073,0.00999696778863941,86920.9659071689,1.00002853365191
"y_init[6]",0,NA,0,0,0,0,0,0,NA,NA
