Time_F1_Tyking,interpolated_f1tyking
28.0,1.0367616197064156
29.0,1.1006851649044136
30.0,1.129739388923394
31.0,1.1303028261253716
32.0,1.1087540108723626
33.0,1.0714714775263823
34.0,1.0248337604494457
35.0,0.975219394003569
36.0,0.929006912550767
37.0,0.8925748504530555
38.0,0.8723017420724501
39.0,0.8745661217709658
40.0,0.9057465239106184
41.0,0.9722214828534232
42.0,1.5282187717479476
43.0,3.3240495328352537
44.0,6.681585550682074
45.0,11.355858894405698
46.0,16.90373150104244
47.0,22.881997071668305
48.0,28.847449307359295
49.0,35.752909679681835
50.0,41.67234995344672
51.0,46.66688494479979
52.0,51.35933923515152
53.0,56.37253740591246
54.0,62.29976535138407
55.0,68.89586830550573
56.0,71.58491302159608
57.0,73.4069572835337
58.0,75.1015640439767
59.0,76.63500125768819
60.0,77.97353687943146
61.0,79.08343886396975
62.0,79.93097516606629
63.0,80.30609131335129
64.0,80.54836387300514
65.0,80.68163281245178
66.0,80.69966451328288
67.0,80.59622535709013
68.0,80.36508172546527
69.0,80.0
