Sp,Lp,Ip,Sv,Iv,Yp
0.9058848,0.08911517,0.005,0.02,0.8,0.005
0.9058825008174197,0.08911694136695969,0.005000527815620585,0.02007072634789777,0.7999512232394208,0.005000533222773468
0.9058595174939816,0.08913464598283566,0.005005806523182746,0.020777411714273785,0.7994638543379794,0.005005866033258656
0.9056305298340794,0.08931079163334511,0.005058648532575442,0.027786883294217767,0.7946297397736535,0.005059252213502538
0.9038621103261696,0.090655589555301,0.005482270118529389,0.08002197354524535,0.7586056076687323,0.005487405160146626
0.9003530873413974,0.09323864249333522,0.00640824016526734,0.1740271658009273,0.6937748032424564,0.006424316200050774
0.8958848854826171,0.09635101532413828,0.007764069193244549,0.27606821033819806,0.6234026484954842,0.007798694252219703
0.8907371170305629,0.09967330928813627,0.009589543681300822,0.37069304827155986,0.5581461208831858,0.009653815418175315
0.8848840317251738,0.10309659734399457,0.012019340930831558,0.45128578238649103,0.5025684156850108,0.01213126970665743
0.8784188070783918,0.10645605564765152,0.015125107273956573,0.5120713862450329,0.4606526800664963,0.015311399163696874
0.8712421933167764,0.10973179869464245,0.019025977988581022,0.5532796108915535,0.43224071786344787,0.019326790262547834
0.8632313743673011,0.1129419097081072,0.02382668592459154,0.5779501673334225,0.4152361809992825,0.024300329288328523
0.8541546931969567,0.11615591885090297,0.029689357952140193,0.5909093779257264,0.4063105463137497,0.03042121278061246
0.8437468349339028,0.11942755332132629,0.03682558174477078,0.5967415851519642,0.40230229039570964,0.03794087984925063
0.8316593809252877,0.12278208834936943,0.04555850072534273,0.5989122963898587,0.4008218638781968,0.04724538377235281
0.8174461363580227,0.1261912034946076,0.05636263014736957,0.599521072233491,0.4004222059199602,0.058912065240834005
0.8004680784964219,0.1295610674901534,0.06997082401342455,0.5995929399015119,0.4003978979818318,0.07385312748241844
0.7797967714243752,0.13268865943659847,0.08751453913902613,0.5995120082837092,0.4004862929943671,0.09353079895134464
0.75423424129532,0.13516178152248268,0.11060394718219706,0.5993749097006018,0.40062387819531065,0.12017983691784033
0.7240676435718093,0.1362401044456092,0.13969222198258124,0.5991888004605269,0.4008067127049098,0.15508235892002936
0.6945414592734731,0.13553263041231398,0.16992588031421263,0.5989243601911036,0.4010465489009252,0.1931544876370657
0.6699865263934272,0.13373783469610062,0.19627560891047188,0.598479724759133,0.4014066893854911,0.22809346276230874
0.6504034176145811,0.13159425178630996,0.21800230059910866,0.598085293885963,0.4017259257839957,0.25836372227017335
0.6341499524378538,0.129380474105635,0.23646954345651097,0.5980435835010168,0.4017911527911705,0.2853150769554092
0.61978586189433,0.12711890273773338,0.2530952053679363,0.5981201244970693,0.4017678468471229,0.3106986967478434
0.6064897138238021,0.1247858741303973,0.2687243820458003,0.5981412170222226,0.40178115019897603,0.3356843593793141
0.5939440948869685,0.1223877941271079,0.28366808098592333,0.5981016651032778,0.4018362606525693,0.3607581893360805
0.5821124091407937,0.11996377925785545,0.2979237816013507,0.5980261671227198,0.40191608816651575,0.38593774107346723
0.5710689320291862,0.11756944996075465,0.3113615880100589,0.5979340031095555,0.40200684313193075,0.41099500382591536
0.5608795159108189,0.1152558064564379,0.3238646476327429,0.597839970493316,0.4020976893485777,0.43566705511584203
0.5515485382632069,0.11305570930317088,0.3353957224336218,0.5977551647278792,0.4021803621851916,0.45979075053773333
0.5430235499048653,0.11098270670910206,0.34599371338603224,0.5976845447170969,0.4022510946911634,0.48333155585199894
0.5352248959235016,0.10903751537999926,0.3557375586964987,0.5976266927627737,0.40231092072024144,0.5063420039460713
0.5297385621646761,0.10764661348481694,0.36261479435050653,0.597789640616012,0.40219664641392894,0.5235020386823819
