Sp,Lp,Ip,Sv,Iv,Yp
0.9058848,0.08911517,0.005,0.02,0.8,0.005
0.9058825006879941,0.08911694149638505,0.005000527815620844,0.020059939809982316,0.8000376000437078,0.005000533222773725
0.90585950183839,0.08913466163808371,0.005005806523526243,0.020659328002771062,0.8004135942939137,0.0050058660336021535
0.9056289406512751,0.08931238046408771,0.00505864888463724,0.026652219324441048,0.8041729181901304,0.005059252565574906
0.9032663248112677,0.09114093278610534,0.005592712402626969,0.08648216897319912,0.8417043779936041,0.005599074199558305
0.883619222158457,0.10666023343203573,0.009720514409507233,0.5061238519200174,1.1049706075488297,0.009785257961513152
0.8348365847250871,0.14570714460335665,0.019456240671556116,1.2666392400331759,1.5823203434371926,0.01972674524690319
0.756178854254947,0.20730622188812775,0.0365148938569252,2.1812850571542906,2.1573561883286034,0.037281979913961504
0.6403545219223425,0.2925859324105194,0.06705951566713803,3.2768621658824726,2.8492817913336888,0.0689950102644713
0.495319734458292,0.38735311465979494,0.11732712088191295,4.515281156925485,3.6403417892945993,0.12180787362849615
0.33819848430058175,0.46792840037900457,0.19387308532041375,5.895235685770533,4.5444559515302725,0.20365151789093172
0.192779985248463,0.5038600672832471,0.30335991746829005,7.46012910419778,5.625095958449225,0.32412866579219873
0.10929757653848332,0.48202026372283685,0.4086821297386799,8.790646861857539,6.624418268831351,0.4451749585174869
0.06824938391502386,0.4342531287585666,0.4974974573264096,9.880422564471868,7.529857458097428,0.553324046963157
0.04849225721289699,0.3802291514342032,0.5712785613528999,10.809118909837121,8.390423946334836,0.6501232289094432
0.03907087690870986,0.33085844034734907,0.6300706527439411,11.592117160989831,9.202631504100966,0.7348965193568382
0.034002162672599236,0.2885272099053626,0.6774705974220382,12.271965332457865,9.993014255866116,0.8117350844587301
0.030793179251033496,0.25371871511257,0.7154880756363966,12.86612775762436,10.768539328780202,0.8829603609102189
0.028407018632243146,0.22563212838080549,0.7459608229869514,13.39003290037518,11.538084190866712,0.9511755709381113
0.026481436696267863,0.20368284025101202,0.7698356930527201,13.845768275713288,12.293486968412719,1.0175952872386205
0.024894048268797216,0.1872034433462482,0.7879024783849546,14.231950601664815,13.01693347231035,1.0827268589717811
0.023594322148991986,0.17535009002397023,0.8010555578270377,14.54892745077525,13.687584828080704,1.1466292845402328
0.02253561851909019,0.1670782073090965,0.8103861441718133,14.803547861672895,14.29443191743256,1.2097530856999854
0.02223122350907239,0.1649985950556812,0.8127701514352464,14.87449649458033,14.477370118192622,1.230221457977604
