Sp,Lp,Ip,Sv,Iv
0.65,0.25,0.1,0.5,0.5
0.655861,0.249109,0.0950292,0.50995,0.49005
0.644768,0.252168,0.103065,0.518907,0.481093
0.646611,0.252088,0.101301,0.526962,0.473038
0.634668,0.255121,0.11021,0.534213,0.465787
0.617928,0.258976,0.123097,0.540733,0.459267
0.640215,0.254641,0.105144,0.546593,0.453407
0.676751,0.246607,0.0766428,0.551876,0.448124
0.64703,0.255046,0.0979246,0.556646,0.443354
0.645367,0.255544,0.0990894,0.560927,0.439073
0.60587,0.264927,0.129202,0.564779,0.435221
0.595856,0.266842,0.137302,0.568228,0.431772
0.599867,0.265982,0.134151,0.571327,0.428673
0.531141,0.279043,0.189817,0.574118,0.425882
0.52156,0.280097,0.198344,0.576597,0.423403
0.543747,0.27647,0.179783,0.578823,0.421177
0.544789,0.275964,0.179247,0.580837,0.419163
0.534238,0.277257,0.188504,0.582649,0.417351
0.589178,0.268652,0.14217,0.584274,0.415726
0.588677,0.268535,0.142788,0.585764,0.414236
0.570242,0.271702,0.158055,0.587104,0.412896
0.561338,0.272937,0.165725,0.5883,0.4117
0.572906,0.270717,0.156377,0.589373,0.410627
0.551502,0.274108,0.17439,0.590343,0.409657
0.539869,0.275591,0.18454,0.591206,0.408794
0.495423,0.281922,0.222654,0.591976,0.408024
0.462703,0.285649,0.251648,0.592647,0.407353
0.485432,0.28223,0.232338,0.593233,0.406767
0.49039,0.280992,0.228618,0.593772,0.406228
0.553421,0.272332,0.174247,0.594259,0.405741
0.561736,0.270671,0.167594,0.59473,0.40527
0.575833,0.268068,0.156099,0.595157,0.404843
0.597176,0.264161,0.138663,0.595548,0.404452
0.560055,0.270843,0.169102,0.595911,0.404089
0.548688,0.272337,0.178975,0.596219,0.403781
0.552853,0.271325,0.175822,0.59649,0.40351
0.535248,0.273714,0.191039,0.596737,0.403263
0.486144,0.280477,0.233379,0.596949,0.403051
0.419525,0.288238,0.292236,0.597115,0.402885
0.41299,0.288051,0.298959,0.597229,0.402771
0.348688,0.293795,0.357517,0.597327,0.402673
0.362007,0.291443,0.34655,0.597381,0.402619
0.313136,0.294812,0.392051,0.597436,0.402564
0.289068,0.295504,0.415428,0.597458,0.402542
0.318072,0.291848,0.39008,0.597464,0.402536
0.258984,0.295449,0.445567,0.597485,0.402515
0.239432,0.295393,0.465174,0.59747,0.40253
0.187996,0.29746,0.514543,0.597445,0.402555
0.189627,0.295587,0.514786,0.597393,0.402607
0.192435,0.293661,0.513904,0.597346,0.402654
0.230561,0.289504,0.479935,0.597305,0.402695
0.279058,0.2847,0.436242,0.597288,0.402712
0.2654,0.284363,0.450237,0.597298,0.402702
0.219459,0.286215,0.494325,0.597299,0.402701
0.183363,0.286996,0.529641,0.597274,0.402726
0.140144,0.287929,0.571928,0.59723,0.40277
0.133442,0.286443,0.580115,0.597166,0.402834
0.0963369,0.286632,0.617032,0.597103,0.402897
0.0648659,0.286266,0.648868,0.597024,0.402976
0.0509148,0.284827,0.664259,0.596934,0.403066
0.0421057,0.283076,0.674818,0.596844,0.403156
0.0454803,0.280717,0.673803,0.596757,0.403243
0.0405805,0.278783,0.680637,0.596679,0.403321
0.0291329,0.277148,0.693719,0.596605,0.403395
0.0230803,0.275225,0.701695,0.596531,0.403469
0.0286164,0.27277,0.698613,0.596459,0.403541
0.0335513,0.270385,0.696063,0.596397,0.403603
0.0508802,0.26749,0.681629,0.596342,0.403658
0.0433727,0.265792,0.690836,0.596301,0.403699
0.0387702,0.263944,0.697285,0.596259,0.403741
0.0382195,0.261916,0.699864,0.596217,0.403783
0.046199,0.259537,0.694264,0.596178,0.403822
0.0484703,0.257453,0.694077,0.596147,0.403853
0.0541923,0.25525,0.690558,0.596118,0.403882
0.0482544,0.253581,0.698165,0.596095,0.403905
0.0453227,0.251774,0.702903,0.596069,0.403931
0.0553436,0.249437,0.695219,0.596043,0.403957
0.0520229,0.247707,0.70027,0.596025,0.403975
0.0474895,0.246025,0.706485,0.596005,0.403995
0.0307589,0.244825,0.724416,0.595983,0.404017
0.03008,0.242927,0.726993,0.595953,0.404047
0.0371199,0.240746,0.722134,0.595925,0.404075
0.0404044,0.238755,0.720841,0.595902,0.404098
0.0395318,0.236952,0.723516,0.595882,0.404118
0.0491143,0.234767,0.716118,0.595863,0.404137
0.0525801,0.232868,0.714552,0.59585,0.40415
0.0606358,0.230827,0.708538,0.595839,0.404161
0.0663878,0.22892,0.704692,0.595833,0.404167
0.0620492,0.22743,0.710521,0.59583,0.40417
0.0548498,0.226038,0.719112,0.595823,0.404177
0.0616278,0.224119,0.714253,0.595813,0.404187
0.0605636,0.222526,0.71691,0.595806,0.404194
0.0584504,0.22098,0.720569,0.595798,0.404202
0.0697065,0.218965,0.711328,0.595789,0.404211
0.0788499,0.217084,0.704066,0.595786,0.404214
0.0795797,0.215553,0.704867,0.595788,0.404212
0.0825647,0.213958,0.703477,0.595789,0.404211
0.125977,0.210971,0.663051,0.595791,0.404209
0.0859309,0.211168,0.702901,0.595817,0.404183
0.0748226,0.210125,0.715053,0.595817,0.404183
0.11176,0.207409,0.680831,0.595809,0.404191
0.178182,0.20378,0.618038,0.595822,0.404178
0.189173,0.202355,0.608472,0.595872,0.404128
0.221789,0.200154,0.578057,0.595922,0.404078
0.248004,0.198303,0.553693,0.595985,0.404015
0.254064,0.19736,0.548576,0.596057,0.403943
0.236767,0.19741,0.565823,0.596124,0.403876
0.209794,0.19776,0.592445,0.596175,0.403825
0.282182,0.194147,0.523671,0.596204,0.403796
0.371258,0.189839,0.438903,0.596271,0.403729
0.370573,0.189715,0.439712,0.596382,0.403618
0.410529,0.187596,0.401875,0.596482,0.403518
0.368387,0.189829,0.441784,0.596594,0.403406
0.44212,0.186058,0.371822,0.596671,0.403329
0.426234,0.187087,0.386679,0.596782,0.403218
0.470978,0.184707,0.344315,0.596873,0.403127
0.502322,0.183064,0.314614,0.59698,0.40302
0.507145,0.18312,0.309735,0.597094,0.402906
0.519548,0.182686,0.297766,0.5972,0.4028
0.581002,0.178917,0.240081,0.597302,0.402698
0.576268,0.179966,0.243766,0.597429,0.402571
0.519335,0.185219,0.295446,0.59754,0.40246
0.492765,0.187475,0.319761,0.59761,0.40239
0.45402,0.190304,0.355675,0.597658,0.402342
0.500571,0.187639,0.311791,0.597679,0.402321
0.512709,0.187141,0.30015,0.597725,0.402275
0.579561,0.182868,0.237572,0.597773,0.402227
0.628965,0.179321,0.191714,0.597854,0.402146
0.616241,0.181389,0.20237,0.597954,0.402046
0.608904,0.182832,0.208264,0.598037,0.401963
0.591999,0.185135,0.222866,0.598109,0.401891
0.584401,0.186449,0.22915,0.598165,0.401835
0.508014,0.193812,0.298175,0.598211,0.401789
0.418738,0.200529,0.380733,0.598212,0.401788
0.388753,0.202218,0.409029,0.598163,0.401837
0.384764,0.202231,0.413005,0.598102,0.401898
0.362135,0.203258,0.434607,0.598045,0.401955
0.403352,0.20076,0.395887,0.59798,0.40202
0.375654,0.2022,0.422146,0.597946,0.402054
0.415939,0.199762,0.384299,0.597899,0.402101
0.344922,0.203827,0.451251,0.597879,0.402121
0.383411,0.201473,0.415117,0.597821,0.402179
0.382091,0.201324,0.416585,0.597791,0.402209
0.344229,0.203167,0.452605,0.597763,0.402237
0.371451,0.201401,0.427148,0.597716,0.402284
0.363945,0.201538,0.434517,0.597689,0.402311
0.318728,0.20362,0.477652,0.59766,0.40234
0.260517,0.205965,0.533518,0.597609,0.402391
0.303255,0.203364,0.493381,0.597529,0.402471
0.355719,0.200368,0.443913,0.597481,0.402519
0.366423,0.199508,0.434068,0.597468,0.402532
0.394812,0.197765,0.407423,0.597462,0.402538
0.439517,0.195168,0.365314,0.597472,0.402528
0.51465,0.190696,0.294654,0.597507,0.402493
0.527807,0.190088,0.282104,0.59758,0.40242
0.534896,0.189945,0.275159,0.597654,0.402346
0.632044,0.18295,0.185007,0.597724,0.402276
0.658628,0.17566,0.165712,0.597841,0.402159
0.670399,0.170242,0.15936,0.597958,0.402042
0.728689,0.159789,0.111522,0.598067,0.401933
0.771367,0.150364,0.0782694,0.598193,0.401807
0.768217,0.148323,0.0834602,0.598327,0.401673
0.766418,0.146047,0.087535,0.598444,0.401556
0.778739,0.141464,0.0797977,0.598548,0.401452
0.768588,0.140918,0.0904948,0.598645,0.401355
0.787559,0.135577,0.0768638,0.598726,0.401274
0.734767,0.142679,0.122555,0.598808,0.401192
0.742758,0.139101,0.118141,0.598854,0.401146
