t,Q05_Y_p,Q25_Y_p,Q50_Y_p,Mean_Y_p,Q75_Y_p,Q95_Y_p
27.0,0.001,0.001,0.001,0.0010000000000000007,0.001,0.001
28.0,0.0010083788323022715,0.0010090241993889885,0.0010094129685043304,0.0010094476687025921,0.001009832280854923,0.0010107114709877573
29.0,0.0010597615623880042,0.0010664163539399368,0.0010705088074035008,0.0010709757497423605,0.0010750327456624956,0.0010848186522808424
30.0,0.0011820385071544225,0.0012071980418206136,0.0012227276170754429,0.0012249553928813928,0.0012406867423107302,0.0012813146711870163
31.0,0.0013939978158638404,0.0014554724773077142,0.0014944113759065329,0.0015012969325662556,0.0015403453579276739,0.001646185204471725
32.0,0.0017041736168920368,0.0018281490489634776,0.0019065440368314275,0.001921025468745781,0.002001163281018037,0.0022174997980591938
33.0,0.0021185127268612547,0.0023297387195756534,0.002471980653150093,0.0024988439902366554,0.0026353522090927827,0.00302913025438054
34.0,0.002645564263364589,0.0029762093052600933,0.003195762504265954,0.0032440769936681055,0.003461460890396957,0.004119129614240377
35.0,0.0032670234804221846,0.003760386744990201,0.004089041257663923,0.004163252117610609,0.004473036238033249,0.0054976526847039615
36.0,0.003987874716925004,0.004680232181776085,0.005143686503356393,0.005256145751257205,0.005694087043029987,0.007181398218487147
37.0,0.004839103933670996,0.005746829166656984,0.006363541140329317,0.0065255739235383515,0.007112657648289058,0.009216076658238828
38.0,0.005790905105029948,0.006929854512053638,0.007744963428481365,0.007960426293404127,0.008738106538580245,0.01150158166826346
39.0,0.006813750834828592,0.008234305109406188,0.00927389019107569,0.009554813973522027,0.010539557794943878,0.014103348878818022
40.0,0.007914516949754802,0.009666089394689558,0.010956563869700328,0.011312936610694135,0.012537349239706676,0.016881572233079595
41.0,0.00910515780897333,0.011198662894847257,0.012779010509531676,0.013229597555853392,0.014710627153899961,0.019952266459063304
42.0,0.010387891126122139,0.012863009506511262,0.014754245525324937,0.01529534842908601,0.01703679437524251,0.023432452162179387
43.0,0.011725900429780297,0.01463061220009904,0.016853474800404854,0.017506787317890894,0.019557756102998248,0.02728498747118643
44.0,0.013170828107086186,0.016489961383521625,0.01903632902713645,0.01985652736220418,0.022253628283324993,0.031201907959967412
45.0,0.014648086490961176,0.018480452223222064,0.021350090140321423,0.022336425894383585,0.02509418647593359,0.035374632280472024
46.0,0.016218869244279562,0.020548579803557947,0.02379716269047737,0.02493701826136047,0.028049495431631,0.0401051270188724
47.0,0.01785222006563708,0.022690178019342408,0.026337824421575572,0.027653978457235336,0.031141057410009956,0.044957794283488575
48.0,0.019530481889515554,0.024914473828671874,0.02898300135576019,0.030483240339223117,0.03443134407972701,0.04973103554163344
49.0,0.021280159292304465,0.02720316373169525,0.031739594679432645,0.03341850693373128,0.037765801952423704,0.05518612871976347
50.0,0.022998145808247727,0.029554824180530955,0.03461389958109463,0.036451888755235584,0.041267934775987815,0.06044956185205516
51.0,0.024831586839470492,0.03195780964836382,0.037557286863694014,0.03957316903228454,0.04474853953624976,0.06601286535303257
52.0,0.026589269697782594,0.03452858269693791,0.04056114287981351,0.042770072911127346,0.048461795946117665,0.07193637431698911
53.0,0.02842434198277603,0.03704521494124327,0.043646544462841136,0.046032345708959664,0.052233888626537925,0.07780605514540376
54.0,0.030395346477184997,0.039628926348384934,0.04683286374072817,0.04936591932975973,0.05600636066112804,0.08345716080730023
55.0,0.03237210026204381,0.042289270187005054,0.05000835522310692,0.05277406562549949,0.0599772737077566,0.0893299318667498
56.0,0.03429833949355544,0.04506686896201443,0.053339464855731114,0.05624485574051359,0.06393235539347698,0.09539584527895756
57.0,0.036428025998212266,0.0477957733764979,0.05670152178911101,0.05977977640891395,0.06803369972383343,0.10176490983418168
58.0,0.03849525740897072,0.05056860520392336,0.060171602215609576,0.06337707789259427,0.07220145535012341,0.1081458574653845
59.0,0.040680052687638114,0.05342646772603381,0.06347772754165894,0.06702444166786428,0.07639791702320575,0.11467643980739473
60.0,0.04285493557920779,0.05628106442436664,0.06690106530482064,0.07071790770959988,0.08071899453884483,0.1210319169566778
61.0,0.044971395130981036,0.05922728847872018,0.07039020937293318,0.07445732025450229,0.08500612476872788,0.12749767428161346
62.0,0.04716068037620787,0.06206210240802337,0.07390525532937117,0.07824032180304663,0.0894591590172781,0.13435871512737765
63.0,0.049439838343343895,0.06506258917013821,0.07761562924619103,0.0820607579407012,0.09376912861574939,0.14083515421355805
64.0,0.05168939397313313,0.06802167407707174,0.08116326205962504,0.08590904465594483,0.09827596130326259,0.14791596934807258
65.0,0.054016932843525364,0.07104469832494825,0.08486801133445261,0.08978118282014445,0.1027862298906922,0.154701708949432
66.0,0.0562390535335155,0.0742643041606897,0.0886305003806966,0.09369172795650138,0.10745119818853283,0.16148484115521614
67.0,0.058687658636607846,0.077501835102765,0.09234278929795173,0.09763238208733342,0.11201496895092401,0.1683942553972028
68.0,0.06085960375280817,0.08054304216815304,0.09597210029998486,0.10158835842759209,0.11641323484680509,0.17499879377334832
69.0,0.06334478174604494,0.0836988633057363,0.09978377593970766,0.10556177017528064,0.12106040595381748,0.18161038479485173
70.0,0.0658994359931643,0.08693926749679283,0.10365099103098857,0.10955101729288481,0.12565574335313479,0.18833310033553083
