t,Q05_Y_p,Q25_Y_p,Q50_Y_p,Mean_Y_p,Q75_Y_p,Q95_Y_p
21.0,0.001,0.001,0.001,0.0010000000000000007,0.001,0.001
22.0,0.0011795872082357944,0.0011973879870232544,0.0012081769523455204,0.001209319932696329,0.0012198523339659439,0.0012459843984688847
23.0,0.002130011382098108,0.0022838173795749167,0.0023770514796751657,0.0023896629126926843,0.0024816699842312197,0.0027231342191617867
24.0,0.004102997739810962,0.004568251423757297,0.004869037735257609,0.004921607842942058,0.005213953249955745,0.0060281034516843175
25.0,0.007107151887901961,0.00806171640633724,0.008697539600149398,0.008824865879599176,0.00944271043270853,0.011259746745883722
26.0,0.010983512045228976,0.012648363140461647,0.013762480770203023,0.013976579883475285,0.015057422186857142,0.01832029811556503
27.0,0.015672864789026675,0.01816303283455967,0.019865287287694173,0.020196812187228234,0.021779022266683542,0.02687506985770607
28.0,0.021041911235274675,0.02452614630424727,0.026819623842049133,0.02729098128730546,0.02945940825362457,0.03640053069163094
29.0,0.02702558092811442,0.03150368704966024,0.034447998237893386,0.03508573535065609,0.037955754429891346,0.046759563882737026
30.0,0.03347828318148857,0.03904011591298809,0.04262402664184362,0.04342351553390796,0.047029145732956024,0.057879391230985275
31.0,0.04039424226769533,0.04689412730022069,0.05137004061356495,0.052203833369977914,0.0564970198283064,0.06938594211121854
32.0,0.04763968647417385,0.05527083093971236,0.06037011025542359,0.061333579879182955,0.06632458234975908,0.08073577956737601
33.0,0.05484666282889539,0.06380406140427514,0.06970711338814045,0.07073336733066257,0.07642284472648005,0.09255406378366313
34.0,0.06256860600614936,0.07267154196367533,0.07921262298681175,0.08035084072245366,0.08662598474438299,0.1046240572399383
35.0,0.07051119573874735,0.08174743550333133,0.08897536733439075,0.09016009455091335,0.09722821689979172,0.11678812168076022
36.0,0.07850649975902989,0.09099675393351525,0.09889421175495357,0.10012461702776879,0.10799991320365626,0.12865709661285163
37.0,0.08685648016783362,0.10043858405469049,0.10905194963145871,0.11021668686510301,0.11881428219576613,0.14079618886766365
38.0,0.09554416362188284,0.10992113362482929,0.11915862978229956,0.12038760797249161,0.12959350187992688,0.15224775718374034
39.0,0.10416602071852545,0.11954087592991854,0.12942664030484466,0.1306106029199846,0.14048966685733563,0.16372143249520704
40.0,0.11310387445934675,0.12925001067321615,0.13983418745151033,0.14087704033967954,0.15137787605879527,0.1746887361986233
41.0,0.12169973053884521,0.13907204541010607,0.15029749830297612,0.15118878940195665,0.1624572266592904,0.18560870537074906
42.0,0.1306389500532444,0.1491443261040901,0.16066071624550962,0.16152053239999487,0.1733898318396636,0.1961607220274228
43.0,0.13938522511230358,0.15899201476638514,0.1711876411885323,0.1718952876713822,0.18449207849786872,0.20653242494787344
44.0,0.14876879049365213,0.16907993328747115,0.18184280972419223,0.1822781866834969,0.19539734679682702,0.21612922262517012
45.0,0.158079055111081,0.17933298121547417,0.19264078627862277,0.19266677910042834,0.2063921843476302,0.2258366475090038
46.0,0.16745621123830962,0.1895622749973076,0.2033331225417955,0.2030287621129704,0.21747502599731697,0.2354105642018918
47.0,0.1764288401333904,0.19972003170829072,0.21405577721962682,0.21336770566209837,0.22827375899026847,0.24485131026007642
48.0,0.1856863840517374,0.21015503567742883,0.22473266785724158,0.22370439837716177,0.23880294724796,0.2549309807755385
49.0,0.1954067262434869,0.22070785581804894,0.2353870025056949,0.23400006853374378,0.2490865494632854,0.26469794007729336
50.0,0.20473090654412618,0.23123452715035672,0.24611470724484502,0.24420972853594328,0.25910714064125323,0.27450608586977293
51.0,0.2139041319412677,0.24159223095664073,0.25671523777260136,0.25436655112658496,0.26908106691635275,0.2846340860563332
52.0,0.2236276056046099,0.25188820459415334,0.2670209854130343,0.26448511705305144,0.27895630986567943,0.2941776963415601
