t,Sp,Lp,Ip,Sv,Iv,Yp
56.0,0.02400358336478073,0.18556875530776326,0.7904276612974561,12.376898039784113,11.237665587355774,1.0091143603573003
57.0,0.023728962855586976,0.18190627827391928,0.7943647588404938,12.432227468979072,11.354873397390971,1.0205964521997357
58.0,0.023466973991258223,0.17848892012739073,0.7980441058513511,12.484653528783443,11.469064924203323,1.0318570428388896
59.0,0.023220108539407393,0.17529660488117824,0.8014832865494145,12.534330733469288,11.580288520672438,1.0429113486537323
60.0,0.022988275454989004,0.17231331014447634,0.8046984143705348,12.58140594344954,11.688593540578632,1.053773265434209
61.0,0.022768851349015806,0.16952700065456844,0.8077041479664159,12.626018397344188,11.794030322798138,1.064455383385386
62.0,0.022556754161301283,0.16692953825041035,0.8105137075582884,12.668299733261856,11.89665018194517,1.0749690027917378
63.0,0.02235036224710158,0.16450966424844138,0.8131399734744571,12.708374661123036,11.996505126012906,1.08532520102435
64.0,0.02215368922362989,0.16225058501983292,0.8155957257265373,12.746360526126463,12.093648110453218,1.0955350756373996
65.0,0.02196866832386702,0.1601387124331925,0.8178926192129405,12.782368539701396,12.1881325188801,1.1056087113769968
66.0,0.021794937956428957,0.1581638069130977,0.8200412551004734,12.81650430537406,12.280011930956805,1.1155552399688546
67.0,0.02162984170556686,0.1563189774400962,0.822051180824337,12.848867818767644,12.369340122395844,1.1253828401182906
68.0,0.02146861453914918,0.15460046553641255,0.8239309198944383,12.879553472888327,12.456171061929352,1.135098766779338
69.0,0.021312546105013756,0.15299815417762597,0.8256892996873604,12.908650433063483,12.540558741495717,1.144710652273224
70.0,0.021163583977613403,0.15150173088750932,0.8273346851048774,12.936243129735395,12.622557061172861,1.1542257417360056
