t,Sp,Lp,Ip,Sv,Iv,Yp
7.0,0.9079833883,0.08701661167000001,0.005,0.02,0.8,0.005576870231
8.0,0.8780588660175517,0.11087779651856507,0.01106333743388336,0.6089295724732571,1.1656818285284845,0.011715541345074867
9.0,0.8388053907435595,0.14239142976971508,0.018803179456725487,1.1775324952046256,1.5189378905418813,0.019596064320283546
10.0,0.7920292997847701,0.17935945570483502,0.0286112444803949,1.7263915964174972,1.8603090849692778,0.02962809506498977
11.0,0.7396266001875348,0.21963366480071428,0.040739734981750896,2.2560330381116205,2.190354420445026,0.04208483765442749
12.0,0.683478397020366,0.26121264888548545,0.05530895406414858,2.7669268579031625,2.509651791650647,0.05710936722023559
13.0,0.6253593485582499,0.3023203084068653,0.07232034300488478,3.25949162703387,2.8187946216360347,0.07472645347201474
14.0,0.566873410428959,0.34145334321595444,0.09167324632508664,3.734101885379487,3.118385632521568,0.09485828340616834
15.0,0.5094012435768657,0.3774157031873947,0.11318305320573957,4.191097272117655,3.4090288916915537,0.11734174900006186
16.0,0.4540817457247917,0.4093141692148615,0.13660408503034668,4.630793857456255,3.6913197635298576,0.14195053893053314
17.0,0.4017951669495019,0.43656089202284626,0.16164394099765178,5.053492234526829,3.9658376243698616,0.16840911432059527
18.0,0.35317886041136165,0.45883361708116577,0.18798752247747252,5.459489810087401,4.233135004308777,0.19641630165861157
19.0,0.30864268899446073,0.476048678654877,0.21530863232066225,5.849086404196228,4.493732953314578,0.225656819093358
20.0,0.2683914987276611,0.4883235140127095,0.24328498722962932,6.222592610938475,4.748113293749381,0.25581612315969693
21.0,0.23247497600518988,0.4959103739317886,0.27161465003302143,6.580337244138517,4.996712429439384,0.28659687427050407
22.0,0.2008016218400393,0.49918401876365787,0.3000143593663027,6.92266520526865,5.2399248473542315,0.3177179066012361
23.0,0.17314689381161763,0.49863214311591797,0.32822096304246434,7.249937961907309,5.478102905228046,0.3489157384143219
24.0,0.14924409305681646,0.49473955588806634,0.3560163510251172,7.562544450070124,5.711546760084013,0.37996920257736566
25.0,0.12880034265195084,0.4879781397405398,0.38322151757750933,7.8608957043065315,5.940510862503235,0.41069414133354126
26.0,0.11146307134207527,0.4788597116837509,0.4096772169441738,8.145414049937681,6.165215915571177,0.4409250602782604
27.0,0.09683554064579196,0.467917123796303,0.435247335527905,8.416534107520022,6.385848075740357,0.4705184522891291
28.0,0.08459213105112441,0.4555621209340171,0.45984574798485844,8.674711904776368,6.602550604703383,0.4993791110498131
29.0,0.07443354931101365,0.44215218547535834,0.48341426518362807,8.920412621875105,6.815437097665587,0.5274390129832066
30.0,0.06604271677713028,0.42805215480022035,0.5059051283926493,9.154101268292742,7.0246017397037726,0.5546404838549707
31.0,0.05910697478091152,0.41360701192303057,0.5272860132660578,9.3762440993775,7.230118137302841,0.5809410794141184
32.0,0.05341022290649583,0.3990299105581953,0.5475598665053089,9.58731407569295,7.432034480136261,0.6063329628427989
33.0,0.048759818177260494,0.38449941708466484,0.5667407647080747,9.787779166459606,7.630386182199274,0.6308195558288382
34.0,0.04495524078708826,0.37020066290188264,0.5848440962810291,9.978097508151535,7.8252014199260325,0.6544060211649247
35.0,0.041813605085873805,0.3562939496188475,0.6018924452652786,10.158719205028696,8.01649957567958,0.6771049816750506
36.0,0.03923041937577387,0.34284151488707787,0.6179280657071482,10.330089161278838,8.204288952640868,0.6989486850210131
37.0,0.03710869498699517,0.32989751522230204,0.6329937897607028,10.49263916634451,8.388575565340641,0.7199704378661604
38.0,0.03534604899706842,0.31752425766739967,0.6471296933055318,10.64678651982822,8.569365035423454,0.7402013413757415
39.0,0.03385515115086879,0.30576716519628916,0.6603776836228421,10.792935450217083,8.746661438736961,0.7596747467239799
40.0,0.03259606505476402,0.29461606798741335,0.6727878669278227,10.931478225219704,8.920466612600023,0.7784324586566874
41.0,0.03152900859906582,0.2840634621037784,0.6844075292671558,11.062791635440226,9.090784519386208,0.7965139660822343
42.0,0.0306084468189673,0.27411158228124866,0.6952799708697841,11.187236889285373,9.2576217672774,0.813955280608532
43.0,0.029794203918672605,0.2647588489291407,0.7054469471221868,11.30516044787064,9.420986991392235,0.8307913052134988
44.0,0.029074922697258428,0.2559717034107129,0.7149533738620287,11.416894928357376,9.580890309623898,0.84706041382716
45.0,0.02843819211172997,0.24772072336567802,0.7238410844925921,11.522757910356866,9.737345217385599,0.8627983245635252
46.0,0.027866603957369788,0.23998508942827854,0.7321483065843517,11.623052476133383,9.89036853965082,0.8780375572739668
47.0,0.027340226728547763,0.2327495644750207,0.7399102087664317,11.718067473561044,10.039980265454233,0.8928079624361995
48.0,0.02685476979420683,0.22598264543362867,0.7471625847421646,11.80807847931212,10.186202955797686,0.9071403043548131
49.0,0.0264095390273818,0.21965102771389652,0.7539394332287217,11.893347395580813,10.329062485551727,0.9210638822699255
50.0,0.02599969706231823,0.2137284197400821,0.7602718831675997,11.974123626145637,10.468587645707794,0.9346054341099119
51.0,0.02561651292795415,0.20819521124685983,0.7661882757951861,12.050644186273598,10.604810084366624,0.947789213659015
52.0,0.02525205720580682,0.20303278785452739,0.7717151549096659,12.123134239620132,10.737764014665485,0.9606379484613851
53.0,0.024908971665328607,0.19821196701879729,0.7768790612858743,12.191807247367137,10.867486246657423,0.973174592161386
54.0,0.02458832432407643,0.193707196052456,0.7817044795934677,12.256865595096814,10.994016092258429,0.9854202879389495
55.0,0.02428817386481953,0.18949795821245674,0.7862138678927238,12.318501704884516,11.117394806949303,0.9973943686599163
