t,Q05_Y_p,Q25_Y_p,Q50_Y_p,Mean_Y_p,Q75_Y_p,Q95_Y_p
21.0,0.001,0.001,0.001,0.0010000000000000007,0.001,0.001
22.0,0.0011425399138429865,0.0011767704979979486,0.0012014316623005336,0.0012091850269269973,0.0012328693323220028,0.0013226146480047945
23.0,0.0018364970200929855,0.002093343885413303,0.0023005554739588298,0.0023913024496015262,0.0025797746504266964,0.003492106311739043
24.0,0.003208493735622239,0.003978997025765298,0.004590232857309619,0.004940931623180433,0.005503677714863148,0.008729720164430563
25.0,0.005290143573610533,0.0067865018041523536,0.008083017438553707,0.008878959783700985,0.010039579562566223,0.017117673593274266
26.0,0.00798741698741744,0.01050399681378429,0.012697609809195341,0.014071269082556646,0.015958502727067156,0.02785554053160365
27.0,0.01118017979542148,0.014799507411676786,0.01815332830365495,0.020242354735859582,0.023035036656101317,0.042451975022568526
28.0,0.014808415669885897,0.019840586437883525,0.02432902256153795,0.027254745848426725,0.03093764354507695,0.058470343836953424
29.0,0.018980439518241923,0.02538922079417504,0.031155927341302646,0.03499176787070054,0.03961881068504699,0.07562558074820377
30.0,0.023574448555533044,0.03139143367947917,0.038541759678393496,0.043342263938209544,0.049432015896420364,0.09392654246825469
31.0,0.02808942104202514,0.037818810657710485,0.046303632802439446,0.05215131491952188,0.05967230043798382,0.11404964777924513
32.0,0.03314149239710444,0.04447241462529176,0.05422708840416815,0.06120966546959564,0.07034575322155141,0.13058665918473755
33.0,0.03861879324493584,0.05165710375522971,0.06295332875467446,0.07051452251150084,0.0813159606652524,0.14755944273235883
34.0,0.04400876475731831,0.058737246620352006,0.07178080661262437,0.0800360401334554,0.09224913215738269,0.1635899382498621
35.0,0.04979792926312698,0.06633521574058922,0.0808270979488892,0.08971548814708646,0.10402240826758492,0.17649761122241467
36.0,0.05548237450498236,0.07392469385508112,0.09003531690911577,0.09938937532133119,0.11646091040674968,0.18809506649663826
37.0,0.061634920601363344,0.08164952474455278,0.0993634847111236,0.10910104635437948,0.12779150507125198,0.19803811629713752
38.0,0.06785779656551176,0.08949385698823507,0.10904212733607731,0.11884052369896367,0.14011958496895674,0.2082242315561501
39.0,0.07394587505517423,0.09774929535309629,0.11865594070287147,0.12855765368156538,0.15237322952691496,0.21740848329709384
40.0,0.080486526855164,0.1059955592677327,0.1284880727845455,0.13823624767952075,0.16555945402118127,0.22648557140606182
41.0,0.08663687901403913,0.11421859349106926,0.1387321008685675,0.14781046265658476,0.1775886163429026,0.23744287209383808
42.0,0.09342141234516937,0.12270990785770435,0.1488023602483855,0.15725401095512825,0.18941472844163906,0.24707985838745625
43.0,0.0999159310917766,0.1311430243403652,0.15886092161971385,0.16660808037660174,0.19935794170626722,0.2576400790031383
44.0,0.10674436683406113,0.13970180311171515,0.16979014259108383,0.17589730321022343,0.20983470110879673,0.2677284575184339
45.0,0.11315841345620974,0.14835969869288465,0.17950560785838157,0.18514977972082186,0.21998516290142064,0.27856458993906724
46.0,0.11938705683528694,0.15680771487960435,0.18979031262388263,0.1943664327276697,0.2294441010175125,0.28954939160648224
47.0,0.12758603533937624,0.16598601379053587,0.19930422372486525,0.20355385118775088,0.23890563552724833,0.3010896362038036
48.0,0.1345698140531883,0.17512424516311037,0.20825101922061803,0.21266603587108227,0.24819981048874645,0.3119934213079029
49.0,0.14126844814997142,0.18393951029385347,0.2170532022055636,0.22170638363317582,0.25685914133711174,0.3229212634028833
50.0,0.14806508316115324,0.19299294030937147,0.2260180980705435,0.23064050750768958,0.26617123432096546,0.33422870546646427
51.0,0.15505846176742827,0.2013948378974342,0.23471515119594646,0.23947060385103672,0.27533109445459303,0.34428301281976315
52.0,0.16175676417905868,0.20911087659594116,0.24317866148250095,0.24819610857265254,0.2843439729172154,0.35459244164800524
53.0,0.16912837534364267,0.21671345759060065,0.25225611258290076,0.25684095961950854,0.29308517246548166,0.36603021802804014
54.0,0.1766833845720318,0.2244118771561795,0.260372452454532,0.26537901573919703,0.3018575456595072,0.377540814271539
55.0,0.18331172281092045,0.23214197596831804,0.269044815928664,0.2737857472330685,0.31125678986283156,0.38841958075446575
56.0,0.19005766379290912,0.23975809781092666,0.2773906480019131,0.2821439353631512,0.3202382296554157,0.3994759921115471
57.0,0.19618389445256004,0.24727400414568523,0.28610125595801,0.29044888229033217,0.3294514183300789,0.41085734780601907
58.0,0.20171722976342435,0.2547704158782294,0.29398824987291944,0.29867369345660616,0.3386966093387893,0.42009668110088877
59.0,0.20656823279018938,0.26158967529354615,0.302484991761796,0.3068737008982366,0.3479181227256867,0.43093995337826696
60.0,0.21052188801984623,0.26855600467069163,0.3111710511102838,0.3149095281450894,0.35677697403332875,0.4406165362317765
61.0,0.21401097662766194,0.2760634199683511,0.3195631491033678,0.3228934471105432,0.36590118845896513,0.45077306770254966
62.0,0.21637558998527476,0.2827657274721418,0.3281418665053358,0.3307830699699459,0.3752413045182204,0.4613478391678475
63.0,0.21839598641936506,0.2895994807457188,0.3363551050510547,0.3384721661642813,0.38438213667236865,0.47271584510505743
64.0,0.2204631006321086,0.2963227741567846,0.34448551640684216,0.3460768924242888,0.3929361585004431,0.48267973173190803
65.0,0.22113918181026473,0.30335093774906474,0.35288264674038317,0.35362387691916614,0.4015369496682185,0.493174583821787
66.0,0.22176286627648317,0.30996904589507884,0.3607935320809336,0.3610530710662268,0.409744454103315,0.5043620441606768
