Sp,Lp,Ip,Sv,Iv
0.692941,0.246201,0.0608579,0.599527,0.400473
0.690549,0.24105,0.0684013,0.599538,0.400462
0.701424,0.231879,0.0666967,0.599543,0.400457
0.690889,0.22934,0.0797718,0.599549,0.400451
0.695214,0.222448,0.0823381,0.599546,0.400454
0.674258,0.221966,0.103776,0.599542,0.400458
0.704933,0.209864,0.0852036,0.599526,0.400474
0.685982,0.208963,0.105055,0.599522,0.400478
0.701926,0.200496,0.0975784,0.599507,0.400493
0.71906,0.192095,0.0888445,0.599498,0.400502
0.710729,0.189633,0.0996379,0.599495,0.400505
0.691115,0.189083,0.119802,0.599485,0.400515
0.715906,0.180351,0.103742,0.599465,0.400535
0.666719,0.184923,0.148358,0.599456,0.400544
0.632021,0.190218,0.177761,0.599422,0.400578
0.634071,0.190655,0.175274,0.599373,0.400627
0.56195,0.199622,0.238428,0.599331,0.400669
0.548518,0.201234,0.250248,0.599255,0.400745
0.583142,0.198532,0.218326,0.599179,0.400821
0.644994,0.19293,0.162076,0.599131,0.400869
0.661453,0.191548,0.146999,0.59912,0.40088
0.724051,0.178024,0.0979252,0.59912,0.40088
0.692401,0.179912,0.127687,0.59915,0.40085
0.719548,0.171961,0.108491,0.599158,0.400842
0.731776,0.166393,0.101831,0.599177,0.400823
0.703488,0.167642,0.12887,0.599199,0.400801
0.720251,0.161797,0.117952,0.599201,0.400799
0.687922,0.163045,0.149032,0.599211,0.400789
0.68237,0.16016,0.15747,0.5992,0.4008
0.691023,0.155762,0.153215,0.599186,0.400814
0.643585,0.157635,0.19878,0.599176,0.400824
0.662964,0.152395,0.184641,0.599139,0.400861
0.712681,0.144644,0.142674,0.599114,0.400886
0.796102,0.132849,0.0710496,0.599117,0.400883
0.822728,0.126026,0.0512467,0.599163,0.400837
0.820855,0.124851,0.0542944,0.599216,0.400784
0.795101,0.128826,0.0760729,0.599262,0.400738
0.772131,0.130852,0.0970171,0.59929,0.40071
0.804688,0.124309,0.0710027,0.599303,0.400697
0.820336,0.119954,0.05971,0.59933,0.40067
0.811173,0.120297,0.0685296,0.599361,0.400639
0.838549,0.114063,0.0473877,0.599384,0.400616
0.833809,0.113962,0.0522293,0.599417,0.400583
0.820761,0.115482,0.063757,0.599444,0.400556
0.827466,0.113003,0.0595311,0.599462,0.400538
