t,L,S,E,I_S,I_A,H,R,D,V,J,u_L,u_V,lockdownFlux,Doses
0,0.6,0.3,0.1,3.27E-33,3.76E-33,1.53E-33,9.37E-34,7.66E-36,2.04E-34,0.00E+00,6.18E-05,0.000164928,2.40E+03,5.72E+02
0.1825,0.59557,0.304301,0.0965703,4.15E-04,0.00304264,7.45E-06,5.08E-05,2.29E-08,4.28E-05,1.03E-06,6.18E-05,0.00013458,2.39E+03,5.69E+02
0.365,0.591065,0.308512,0.093425,7.95E-04,0.00589193,2.80E-05,2.00E-04,1.17E-07,8.44E-05,2.58E-06,6.20E-05,0.000132054,2.37E+03,5.68E+02
0.5475,0.586494,0.312632,0.090543,1.14E-03,0.00856217,5.94E-05,4.41E-04,3.16E-07,0.000126402,4.87E-06,6.22E-05,0.000130967,2.35E+03,5.68E+02
0.73,0.581866,0.316664,0.087905,1.46E-03,0.0110666,9.94E-05,0.000770068,6.46E-07,0.000168794,8.11E-06,6.24E-05,0.00013014,2.33E+03,5.68E+02
0.9125,0.577189,0.320609,0.085493,1.75E-03,0.0134175,1.46E-04,0.00118216,1.13E-06,0.000211585,1.24E-05,6.27E-05,0.00012945,2.31E+03,5.67E+02
1.095,0.57247,0.32447,0.0832903,2.02E-03,0.0156261,1.99E-04,0.00167277,1.78E-06,0.000254759,1.80E-05,6.30E-05,0.000128842,2.29E+03,5.67E+02
1.2775,0.567715,0.328248,0.0812814,2.26E-03,0.0177031,2.55E-04,0.00223764,2.61E-06,0.000298298,2.48E-05,6.33E-05,0.000128288,2.27E+03,5.67E+02
1.46,0.562931,0.331945,0.0794518,2.48E-03,0.0196582,3.14E-04,0.0028728,3.63E-06,0.000342184,3.31E-05,6.37E-05,0.00012777,2.26E+03,5.66E+02
1.6425,0.558124,0.335563,0.0777883,2.68E-03,0.0215004,3.76E-04,0.00357448,4.85E-06,0.000386401,4.27E-05,6.41E-05,0.000127278,2.24E+03,5.66E+02
1.825,0.553298,0.339102,0.0762784,2.87E-03,0.023238,4.38E-04,0.00433913,6.26E-06,0.00043093,5.38E-05,6.45E-05,0.000126804,2.22E+03,5.66E+02
2.0075,0.548458,0.342565,0.0749107,3.04E-03,0.0248787,5.01E-04,0.00516341,7.87E-06,0.000475756,6.63E-05,6.49E-05,0.000126344,2.20E+03,5.66E+02
2.19,0.543608,0.345954,0.0736745,3.20E-03,0.0264298,5.64E-04,0.00604416,9.69E-06,0.00052086,8.02E-05,6.54E-05,0.000125894,2.18E+03,5.66E+02
2.3725,0.538753,0.349269,0.07256,3.34E-03,0.0278978,6.26E-04,0.00697844,1.17E-05,0.000566228,9.56E-05,6.58E-05,0.000125453,2.16E+03,5.65E+02
2.555,0.533896,0.352512,0.071558,3.47E-03,0.0292888,6.88E-04,0.00796347,1.39E-05,0.000611844,1.12E-04,6.63E-05,0.000125018,2.14E+03,5.65E+02
2.7375,0.52904,0.355684,0.0706602,3.59E-03,0.0306086,7.48E-04,0.00899663,1.63E-05,0.000657694,1.31E-04,6.67E-05,0.000124588,2.12E+03,5.65E+02
2.92,0.524189,0.358788,0.0698586,3.70E-03,0.0318623,8.06E-04,0.0100755,1.89E-05,0.000703762,1.50E-04,6.72E-05,0.000124163,2.10E+03,5.65E+02
3.1025,0.519344,0.361823,0.069146,3.80E-03,0.0330549,8.63E-04,0.0111977,2.16E-05,0.000750035,1.71E-04,6.76E-05,0.000123743,2.08E+03,5.65E+02
3.285,0.514509,0.364791,0.0685157,3.89E-03,0.0341907,9.18E-04,0.0123612,2.46E-05,0.000796499,1.93E-04,6.81E-05,0.000123326,2.06E+03,5.65E+02
3.4675,0.509686,0.367693,0.0679615,3.98E-03,0.0352741,9.72E-04,0.013564,2.77E-05,0.000843142,2.16E-04,6.85E-05,0.000122913,2.04E+03,5.64E+02
3.65,0.504877,0.370531,0.0674775,4.06E-03,0.0363088,1.02E-03,0.0148041,3.09E-05,0.000889951,2.41E-04,6.90E-05,0.000122504,2.02E+03,5.64E+02
3.8325,0.500084,0.373305,0.0670585,4.13E-03,0.0372983,1.07E-03,0.0160797,3.44E-05,0.000936914,2.66E-04,6.94E-05,0.000122099,2.00E+03,5.64E+02
4.015,0.495309,0.376017,0.0666994,4.20E-03,0.038246,1.12E-03,0.0173893,3.79E-05,0.000984018,2.93E-04,6.98E-05,0.000121697,1.98E+03,5.64E+02
4.1975,0.490552,0.378667,0.0663958,4.26E-03,0.039155,1.16E-03,0.0187313,4.16E-05,0.00103125,3.21E-04,7.03E-05,0.0001213,1.97E+03,5.64E+02
4.38,0.485817,0.381257,0.0661432,4.32E-03,0.0400279,1.21E-03,0.0201043,4.55E-05,0.00107861,3.49E-04,7.07E-05,0.000120907,1.95E+03,5.64E+02
4.5625,0.481103,0.383787,0.065938,4.37E-03,0.0408675,1.25E-03,0.0215068,4.95E-05,0.00112607,3.79E-04,7.11E-05,0.000120518,1.93E+03,5.64E+02
4.745,0.476413,0.386258,0.0657762,4.42E-03,0.0416762,1.29E-03,0.0229377,5.36E-05,0.00117363,4.10E-04,7.15E-05,0.000120133,1.91E+03,5.64E+02
4.9275,0.471746,0.388671,0.0656547,4.47E-03,0.0424561,1.33E-03,0.0243958,5.78E-05,0.00122127,4.41E-04,7.19E-05,0.000119754,1.89E+03,5.63E+02
5.11,0.467105,0.391027,0.0655702,4.52E-03,0.0432094,1.36E-03,0.02588,6.21E-05,0.001269,4.73E-04,7.22E-05,0.000119379,1.87E+03,5.63E+02
5.2925,0.46249,0.393327,0.0655199,4.56E-03,0.0439379,1.39E-03,0.0273892,6.65E-05,0.00131679,5.06E-04,7.26E-05,0.00011901,1.85E+03,5.63E+02
5.475,0.457902,0.395571,0.065501,4.60E-03,0.0446434,1.43E-03,0.0289225,7.11E-05,0.00136464,5.40E-04,7.30E-05,0.000118646,1.83E+03,5.63E+02
5.6575,0.453341,0.397761,0.065511,4.64E-03,0.0453275,1.46E-03,0.030479,7.57E-05,0.00141253,5.74E-04,7.33E-05,0.000118288,1.82E+03,5.63E+02
5.84,0.448809,0.399896,0.0655478,4.67E-03,0.0459917,1.49E-03,0.0320579,8.04E-05,0.00146047,6.09E-04,7.36E-05,0.000117935,1.80E+03,5.63E+02
6.0225,0.444305,0.401978,0.065609,4.70E-03,0.0466375,1.51E-03,0.0336585,8.52E-05,0.00150843,6.45E-04,7.39E-05,0.000117589,1.78E+03,5.63E+02
6.205,0.439831,0.404007,0.0656927,4.74E-03,0.0472661,1.54E-03,0.0352799,9.01E-05,0.00155642,6.81E-04,7.43E-05,0.000117249,1.76E+03,5.63E+02
6.3875,0.435386,0.405984,0.065797,4.77E-03,0.0478786,1.56E-03,0.0369215,9.51E-05,0.00160442,7.18E-04,7.45E-05,0.000116915,1.74E+03,5.63E+02
6.57,0.430971,0.40791,0.0659203,4.80E-03,0.0484763,1.59E-03,0.0385827,1.00E-04,0.00165242,7.55E-04,7.48E-05,0.000116588,1.73E+03,5.63E+02
6.7525,0.426587,0.409785,0.0660609,4.83E-03,0.04906,1.61E-03,0.0402628,1.05E-04,0.00170042,7.93E-04,7.51E-05,0.000116268,1.71E+03,5.62E+02
6.935,0.422234,0.411609,0.0662173,4.86E-03,0.0496308,1.63E-03,0.0419615,1.10E-04,0.00174841,8.32E-04,7.54E-05,0.000115956,1.69E+03,5.62E+02
7.1175,0.417912,0.413384,0.0663882,4.88E-03,0.0501894,1.65E-03,0.043678,1.16E-04,0.00179637,8.71E-04,7.56E-05,0.00011565,1.67E+03,5.62E+02
7.3,0.41362,0.41511,0.0665723,4.91E-03,0.0507368,1.67E-03,0.0454121,1.21E-04,0.00184431,9.10E-04,7.58E-05,0.000115352,1.66E+03,5.62E+02
7.4825,0.409361,0.416788,0.0667683,4.94E-03,0.0512735,1.69E-03,0.0471631,1.26E-04,0.00189221,9.50E-04,7.60E-05,0.000115062,1.64E+03,5.62E+02
7.665,0.405133,0.418417,0.0669753,4.96E-03,0.0518003,1.71E-03,0.0489307,1.32E-04,0.00194006,9.90E-04,7.63E-05,0.000114779,1.62E+03,5.62E+02
7.8475,0.400937,0.419999,0.067192,4.99E-03,0.0523178,1.73E-03,0.0507146,1.37E-04,0.00198787,1.03E-03,7.64E-05,0.000114505,1.61E+03,5.62E+02
8.03,0.396773,0.421535,0.0674177,5.01E-03,0.0528266,1.74E-03,0.0525142,1.43E-04,0.00203562,1.07E-03,7.66E-05,0.000114239,1.59E+03,5.62E+02
8.2125,0.392641,0.423024,0.0676513,5.04E-03,0.0533272,1.76E-03,0.0543294,1.48E-04,0.0020833,1.11E-03,7.68E-05,0.000113981,1.57E+03,5.62E+02
8.395,0.388541,0.424467,0.067892,5.06E-03,0.0538201,1.77E-03,0.0561597,1.54E-04,0.00213091,1.15E-03,7.70E-05,0.000113731,1.56E+03,5.62E+02
8.5775,0.384473,0.425865,0.0681391,5.08E-03,0.0543056,1.79E-03,0.058005,1.60E-04,0.00217844,1.20E-03,7.71E-05,0.000113491,1.54E+03,5.62E+02
8.76,0.380438,0.427219,0.0683918,5.11E-03,0.0547843,1.80E-03,0.0598648,1.65E-04,0.00222588,1.24E-03,7.72E-05,0.000113259,1.52E+03,5.62E+02
8.9425,0.376434,0.428528,0.0686494,5.13E-03,0.0552565,1.82E-03,0.0617389,1.71E-04,0.00227323,1.28E-03,7.73E-05,0.000113036,1.51E+03,5.61E+02
9.125,0.372463,0.429793,0.0689113,5.16E-03,0.0557225,1.83E-03,0.0636271,1.77E-04,0.00232048,1.32E-03,7.75E-05,0.000112822,1.49E+03,5.61E+02
9.3075,0.368524,0.431015,0.0691769,5.18E-03,0.0561826,1.84E-03,0.0655291,1.83E-04,0.00236763,1.37E-03,7.76E-05,0.000112618,1.48E+03,5.61E+02
9.49,0.364617,0.432194,0.0694456,5.20E-03,0.0566372,1.86E-03,0.0674447,1.89E-04,0.00241466,1.41E-03,7.76E-05,0.000112423,1.46E+03,5.61E+02
9.6725,0.360743,0.43333,0.069717,5.23E-03,0.0570864,1.87E-03,0.0693737,1.95E-04,0.00246158,1.46E-03,7.77E-05,0.000112237,1.45E+03,5.61E+02
9.855,0.3569,0.434425,0.0699904,5.25E-03,0.0575305,1.88E-03,0.0713159,2.01E-04,0.00250837,1.50E-03,7.78E-05,0.000112062,1.43E+03,5.61E+02
10.0375,0.35309,0.435478,0.0702656,5.27E-03,0.0579698,1.89E-03,0.0732711,2.07E-04,0.00255503,1.54E-03,7.78E-05,0.000111896,1.42E+03,5.61E+02
10.22,0.349312,0.436491,0.0705419,5.30E-03,0.0584044,1.90E-03,0.0752391,2.13E-04,0.00260156,1.59E-03,7.79E-05,0.00011174,1.40E+03,5.61E+02
10.4025,0.345565,0.437463,0.070819,5.32E-03,0.0588344,1.91E-03,0.0772197,2.19E-04,0.00264795,1.63E-03,7.79E-05,0.000111594,1.38E+03,5.61E+02
10.585,0.341851,0.438395,0.0710966,5.34E-03,0.0592601,1.92E-03,0.0792128,2.25E-04,0.00269418,1.68E-03,7.79E-05,0.000111458,1.37E+03,5.61E+02
10.7675,0.338168,0.439287,0.0713742,5.36E-03,0.0596816,1.94E-03,0.0812182,2.31E-04,0.00274027,1.72E-03,7.79E-05,0.000111333,1.36E+03,5.61E+02
10.95,0.334517,0.44014,0.0716516,5.39E-03,0.060099,1.95E-03,0.0832357,2.37E-04,0.0027862,1.77E-03,7.79E-05,0.000111218,1.34E+03,5.61E+02
11.1325,0.330898,0.440955,0.0719283,5.41E-03,0.0605124,1.96E-03,0.0852652,2.43E-04,0.00283197,1.82E-03,7.79E-05,0.000111114,1.33E+03,5.61E+02
11.315,0.32731,0.441731,0.0722042,5.43E-03,0.0609218,1.97E-03,0.0873066,2.50E-04,0.00287756,1.86E-03,7.78E-05,0.00011102,1.31E+03,5.61E+02
11.4975,0.323753,0.442469,0.0724788,5.46E-03,0.0613275,1.98E-03,0.0893596,2.56E-04,0.00292299,1.91E-03,7.78E-05,0.000110937,1.30E+03,5.61E+02
11.68,0.320228,0.44317,0.072752,0.00547921,0.0617295,1.99E-03,0.0914242,2.62E-04,0.00296824,1.95E-03,7.78E-05,0.000110865,1.28E+03,5.61E+02
11.8625,0.316734,0.443835,0.0730235,0.00550205,0.0621278,2.00E-03,0.0935003,2.68E-04,0.00301331,2.00E-03,7.77E-05,0.000110805,1.27E+03,5.60E+02
12.045,0.313271,0.444462,0.073293,0.00552484,0.0625224,2.01E-03,0.0955876,2.75E-04,0.00305819,2.05E-03,7.76E-05,0.000110755,1.26E+03,5.60E+02
12.2275,0.309839,0.445054,0.0735603,0.00554758,0.0629135,2.02E-03,0.0976861,2.81E-04,0.00310288,2.10E-03,7.75E-05,0.000110717,1.24E+03,5.60E+02
12.41,0.306437,0.44561,0.0738252,0.00557026,0.0633011,2.03E-03,0.0997956,2.88E-04,0.00314738,2.14E-03,7.75E-05,0.00011069,1.23E+03,5.60E+02
12.5925,0.303067,0.446131,0.0740875,0.00559287,0.0636851,2.03E-03,0.101916,2.94E-04,0.00319167,2.19E-03,7.74E-05,0.000110675,1.21E+03,5.60E+02
12.775,0.299727,0.446618,0.074347,0.00561541,0.0640657,2.04E-03,0.104047,3.01E-04,0.00323577,2.24E-03,7.73E-05,0.000110672,1.20E+03,5.60E+02
12.9575,0.296417,0.44707,0.0746034,0.00563787,0.0644428,2.05E-03,0.106189,3.07E-04,0.00327965,2.29E-03,7.71E-05,0.00011068,1.19E+03,5.60E+02
13.14,0.293137,0.447488,0.0748567,0.00566023,0.0648164,2.06E-03,0.108341,3.14E-04,0.00332333,2.34E-03,7.70E-05,0.0001107,1.17E+03,5.60E+02
13.3225,0.289888,0.447873,0.0751066,0.00568249,0.0651866,2.07E-03,0.110504,3.20E-04,0.00336679,2.38E-03,7.69E-05,0.000110733,1.16E+03,5.60E+02
13.505,0.286669,0.448225,0.075353,0.00570465,0.0655533,2.08E-03,0.112677,3.27E-04,0.00341003,2.43E-03,7.67E-05,0.000110777,1.15E+03,5.60E+02
13.6875,0.283479,0.448545,0.0755958,0.00572668,0.0659166,2.09E-03,0.11486,3.33E-04,0.00345305,2.48E-03,7.66E-05,0.000110834,1.14E+03,5.60E+02
13.87,0.28032,0.448832,0.0758347,0.00574858,0.0662763,2.10E-03,0.117053,3.40E-04,0.00349585,2.53E-03,7.64E-05,0.000110903,1.12E+03,5.60E+02
14.0525,0.277189,0.449088,0.0760696,0.00577035,0.0666326,2.11E-03,0.119257,3.47E-04,0.00353842,2.58E-03,7.62E-05,0.000110985,1.11E+03,5.60E+02
14.235,0.274089,0.449313,0.0763005,0.00579196,0.0669853,2.12E-03,0.121469,3.54E-04,0.00358076,2.63E-03,7.61E-05,0.000111079,1.10E+03,5.60E+02
14.4175,0.271017,0.449507,0.0765271,0.00581342,0.0673345,2.13E-03,0.123692,3.60E-04,0.00362287,2.68E-03,7.59E-05,0.000111186,1.09E+03,5.60E+02
14.6,0.267975,0.449671,0.0767494,0.00583471,0.0676802,2.13E-03,0.125924,3.67E-04,0.00366473,2.73E-03,7.57E-05,0.000111306,1.07E+03,5.60E+02
14.7825,0.264961,0.449805,0.0769673,0.00585582,0.0680222,2.14E-03,0.128165,3.74E-04,0.00370636,2.78E-03,7.55E-05,0.000111439,1.06E+03,5.60E+02
14.965,0.261976,0.44991,0.0771805,0.00587675,0.0683606,2.15E-03,0.130416,3.81E-04,0.00374775,2.83E-03,7.52E-05,0.000111585,1.05E+03,5.60E+02
15.1475,0.25902,0.449985,0.0773891,0.00589747,0.0686954,2.16E-03,0.132676,3.87E-04,0.0037889,2.88E-03,7.50E-05,0.000111744,1.04E+03,5.60E+02
15.33,0.256093,0.450032,0.0775929,0.00591799,0.0690265,2.17E-03,0.134945,3.94E-04,0.0038298,2.93E-03,7.48E-05,0.000111917,1.03E+03,5.60E+02
15.5125,0.253193,0.450051,0.0777918,0.00593829,0.0693538,2.18E-03,0.137222,4.01E-04,0.00387045,2.98E-03,7.46E-05,0.000112103,1.01E+03,5.60E+02
15.695,0.250322,0.450043,0.0779857,0.00595837,0.0696774,2.19E-03,0.139509,4.08E-04,0.00391085,3.03E-03,7.43E-05,0.000112303,1.00E+03,5.60E+02
15.8775,0.247479,0.450007,0.0781746,0.0059782,0.0699971,2.19E-03,0.141804,4.15E-04,0.00395099,0.00308552,7.41E-05,0.000112517,9.92E+02,5.60E+02
16.06,0.244664,0.449944,0.0783583,0.0059978,0.070313,2.20E-03,0.144107,4.22E-04,0.00399089,0.00313714,7.38E-05,0.000112744,9.80E+02,5.60E+02
16.2425,0.241877,0.449855,0.0785368,0.00601713,0.070625,2.21E-03,0.146419,4.29E-04,0.00403052,0.00318896,7.35E-05,0.000112986,9.69E+02,5.60E+02
16.425,0.239117,0.44974,0.07871,0.00603621,0.070933,2.22E-03,0.148739,4.36E-04,0.00406991,0.00324096,7.33E-05,0.000113242,9.58E+02,5.60E+02
16.6075,0.236384,0.4496,0.0788778,0.00605501,0.071237,2.23E-03,0.151067,0.000443245,0.00410903,0.00329315,7.30E-05,0.000113512,9.47E+02,5.60E+02
16.79,0.233679,0.449435,0.0790402,0.00607353,0.071537,2.23E-03,0.153403,0.000450331,0.00414789,0.00334552,7.27E-05,0.000113796,9.36E+02,5.60E+02
16.9725,0.231,0.449245,0.0791971,0.00609176,0.0718329,2.24E-03,0.155747,0.000457441,0.00418649,0.00339807,7.24E-05,0.000114096,9.26E+02,5.60E+02
17.155,0.228349,0.449031,0.0793484,0.0061097,0.0721247,2.25E-03,0.158099,0.000464576,0.00422483,0.0034508,7.21E-05,0.00011441,9.15E+02,5.60E+02
17.3375,0.225724,0.448793,0.079494,0.00612733,0.0724122,2.26E-03,0.160457,0.000471735,0.00426291,0.00350372,7.18E-05,0.000114739,9.05E+02,5.60E+02
17.52,0.223126,0.448532,0.079634,0.00614464,0.0726956,2.27E-03,0.162824,0.000478918,0.00430072,0.0035568,7.15E-05,0.000115083,8.94E+02,5.60E+02
17.7025,0.220554,0.448248,0.0797682,0.00616163,0.0729746,2.27E-03,0.165197,0.000486125,0.00433827,0.00361007,7.12E-05,0.000115442,8.84E+02,5.60E+02
17.885,0.218008,0.447942,0.0798966,0.00617829,0.0732493,2.28E-03,0.167577,0.000493355,0.00437555,0.0036635,7.09E-05,0.000115817,8.74E+02,5.60E+02
18.0675,0.215489,0.447613,0.0800191,0.00619462,0.0735197,2.29E-03,0.169964,0.000500608,0.00441257,0.0037171,7.05E-05,0.000116207,8.63E+02,5.60E+02
18.25,0.212995,0.447263,0.0801358,0.0062106,0.0737855,2.29E-03,0.172358,0.000507884,0.00444932,0.00377087,7.02E-05,0.000116613,8.53E+02,5.60E+02
18.4325,0.210527,0.446892,0.0802466,0.00622622,0.0740469,2.30E-03,0.174759,0.000515182,0.00448581,0.0038248,6.99E-05,0.000117034,8.44E+02,5.60E+02
18.615,0.208085,0.446501,0.0803514,0.00624149,0.0743038,2.31E-03,0.177165,0.000522502,0.00452203,0.0038789,6.95E-05,0.000117472,8.34E+02,5.60E+02
18.7975,0.205667,0.446089,0.0804502,0.0062564,0.0745561,2.32E-03,0.179578,0.000529844,0.00455798,0.00393315,6.92E-05,0.000117926,8.24E+02,5.60E+02
18.98,0.203276,0.445657,0.0805429,0.00627094,0.0748037,2.32E-03,0.181997,0.000537207,0.00459367,0.00398756,6.88E-05,0.000118396,8.15E+02,5.60E+02
19.1625,0.200909,0.445205,0.0806296,0.00628509,0.0750467,2.33E-03,0.184422,0.000544591,0.00462909,0.00404212,6.85E-05,0.000118883,8.05E+02,5.60E+02
19.345,0.198567,0.444735,0.0807102,0.00629887,0.0752849,2.34E-03,0.186853,0.000551996,0.00466425,0.00409683,6.81E-05,0.000119386,7.96E+02,5.60E+02
19.5275,0.196249,0.444246,0.0807847,0.00631225,0.0755184,2.34E-03,0.189289,0.000559421,0.00469914,0.0041517,6.78E-05,0.000119906,7.86E+02,5.60E+02
19.71,0.193957,0.443739,0.0808531,0.00632524,0.0757471,2.35E-03,0.191731,0.000566866,0.00473377,0.0042067,6.74E-05,0.000120444,7.77E+02,5.60E+02
19.8925,0.191688,0.443214,0.0809153,0.00633783,0.0759709,2.35E-03,0.194178,0.00057433,0.00476813,0.00426185,6.70E-05,0.000120998,7.68E+02,5.60E+02
20.075,0.189444,0.442672,0.0809713,0.00635001,0.0761897,2.36E-03,0.19663,0.000581813,0.00480223,0.00431714,6.66E-05,0.00012157,7.59E+02,5.60E+02
20.2575,0.187223,0.442113,0.0810212,0.00636178,0.0764037,2.37E-03,0.199086,0.000589315,0.00483607,0.00437256,6.62E-05,0.00012216,7.50E+02,5.60E+02
20.44,0.185027,0.441537,0.0810649,0.00637314,0.0766126,2.37E-03,0.201548,0.000596835,0.00486965,0.00442811,6.59E-05,0.000122767,7.41E+02,5.60E+02
20.6225,0.182854,0.440945,0.0811023,0.00638408,0.0768165,2.38E-03,0.204014,0.000604372,0.00490297,0.0044838,6.55E-05,0.000123392,7.33E+02,5.60E+02
20.805,0.180705,0.440338,0.0811336,0.00639459,0.0770153,2.38E-03,0.206484,0.000611927,0.00493602,0.00453961,6.51E-05,0.000124036,7.24E+02,5.60E+02
20.9875,0.178579,0.439715,0.0811586,0.00640468,0.077209,2.39E-03,0.208958,0.000619499,0.00496883,0.00459554,6.47E-05,0.000124698,7.15E+02,5.60E+02
21.17,0.176476,0.439077,0.0811774,0.00641433,0.0773976,2.39E-03,0.211437,0.000627087,0.00500137,0.0046516,6.43E-05,0.000125378,7.07E+02,5.60E+02
21.3525,0.174396,0.438425,0.08119,0.00642354,0.0775809,2.40E-03,0.213919,0.000634691,0.00503366,0.00470776,6.39E-05,0.000126077,6.99E+02,5.60E+02
21.535,0.172339,0.437758,0.0811964,0.00643232,0.077759,2.40E-03,0.216404,0.00064231,0.0050657,0.00476404,6.35E-05,0.000126796,6.90E+02,5.60E+02
21.7175,0.170304,0.437078,0.0811966,0.00644065,0.0779319,2.41E-03,0.218894,0.000649945,0.00509749,0.00482044,6.31E-05,0.000127533,6.82E+02,5.60E+02
21.9,0.168292,0.436385,0.0811906,0.00644854,0.0780995,2.41E-03,0.221386,0.000657593,0.00512903,0.00487693,6.26E-05,0.00012829,6.74E+02,5.60E+02
22.0825,0.166302,0.435678,0.0811784,0.00645598,0.0782617,2.42E-03,0.223881,0.000665256,0.00516032,0.00493353,6.22E-05,0.000129066,6.66E+02,5.60E+02
22.265,0.164334,0.434959,0.08116,0.00646296,0.0784186,2.42E-03,0.22638,0.000672933,0.00519136,0.00499022,6.18E-05,0.000129862,6.58E+02,5.60E+02
22.4475,0.162388,0.434228,0.0811355,0.00646949,0.0785701,2.43E-03,0.228881,0.000680622,0.00522216,0.00504702,6.14E-05,0.000130679,6.51E+02,5.60E+02
22.63,0.160464,0.433485,0.0811048,0.00647557,0.0787162,2.43E-03,0.231384,0.000688324,0.00525272,0.0051039,6.10E-05,0.000131515,6.43E+02,5.60E+02
22.8125,0.158561,0.432731,0.081068,0.00648118,0.0788568,2.43E-03,0.23389,0.000696038,0.00528304,0.00516087,6.05E-05,0.000132372,6.35E+02,5.60E+02
22.995,0.15668,0.431966,0.0810251,0.00648634,0.0789919,2.44E-03,0.236398,0.000703764,0.00531312,0.00521792,6.01E-05,0.00013325,6.28E+02,5.60E+02
23.1775,0.15482,0.431189,0.0809761,0.00649103,0.0791216,2.44E-03,0.238907,0.0007115,0.00534297,0.00527505,5.97E-05,0.000134149,6.20E+02,5.60E+02
23.36,0.152981,0.430403,0.0809211,0.00649526,0.0792458,2.44E-03,0.241419,0.000719247,0.00537259,0.00533226,5.93E-05,0.000135069,6.13E+02,5.60E+02
23.5425,0.151163,0.429607,0.08086,0.00649902,0.0793644,2.45E-03,0.243932,0.000727004,0.00540197,0.00538954,5.88E-05,0.00013601,6.06E+02,5.61E+02
23.725,0.149365,0.428801,0.080793,0.00650232,0.0794774,2.45E-03,0.246446,0.000734771,0.00543113,0.00544688,5.84E-05,0.000136973,5.98E+02,5.61E+02
23.9075,0.147588,0.427985,0.08072,0.00650514,0.0795849,2.45E-03,0.248961,0.000742546,0.00546007,0.0055043,5.79E-05,0.000137958,5.91E+02,5.61E+02
24.09,0.145832,0.427161,0.080641,0.0065075,0.0796868,2.46E-03,0.251478,0.000750329,0.00548878,0.00556177,5.75E-05,0.000138965,5.84E+02,5.61E+02
24.2725,0.144095,0.426329,0.0805562,0.00650939,0.0797831,2.46E-03,0.253995,0.000758121,0.00551727,0.00561929,5.71E-05,0.000139994,5.77E+02,5.61E+02
24.455,0.142379,0.425488,0.0804655,0.00651082,0.0798738,2.46E-03,0.256512,0.00076592,0.00554555,0.00567687,5.66E-05,0.000141046,5.70E+02,5.61E+02
24.6375,0.140682,0.424639,0.0803689,0.00651177,0.0799588,2.46E-03,0.25903,0.000773725,0.00557362,0.0057345,5.62E-05,0.000142121,5.64E+02,5.61E+02
24.82,0.139005,0.423783,0.0802666,0.00651225,0.0800382,2.46E-03,0.261548,0.000781537,0.00560147,0.00579217,5.57E-05,0.000143219,5.57E+02,5.61E+02
25.0025,0.137347,0.42292,0.0801586,0.00651226,0.080112,2.47E-03,0.264066,0.000789354,0.00562912,0.00584989,5.53E-05,0.00014434,5.50E+02,5.61E+02
25.185,0.135709,0.42205,0.0800449,0.0065118,0.0801801,2.47E-03,0.266584,0.000797177,0.00565656,0.00590764,5.49E-05,0.000145485,5.44E+02,5.61E+02
25.3675,0.13409,0.421173,0.0799255,0.00651087,0.0802425,2.47E-03,0.269101,0.000805004,0.00568381,0.00596542,5.44E-05,0.000146654,5.37E+02,5.61E+02
25.55,0.132489,0.42029,0.0798005,0.00650948,0.0802993,2.47E-03,0.271618,0.000812835,0.00571086,0.00602322,5.40E-05,0.000147847,5.31E+02,5.61E+02
25.7325,0.130908,0.419401,0.07967,0.00650762,0.0803504,2.47E-03,0.274134,0.000820669,0.00573771,0.00608106,5.35E-05,0.000149065,5.24E+02,5.62E+02
25.915,0.129345,0.418507,0.079534,0.00650529,0.0803958,2.47E-03,0.276649,0.000828507,0.00576437,0.00613891,5.31E-05,0.000150307,5.18E+02,5.62E+02
26.0975,0.1278,0.417607,0.0793925,0.00650249,0.0804356,2.47E-03,0.279162,0.000836347,0.00579085,0.00619678,5.26E-05,0.000151573,5.12E+02,5.62E+02
26.28,0.126274,0.416703,0.0792456,0.00649923,0.0804697,2.47E-03,0.281674,0.000844188,0.00581714,0.00625466,5.22E-05,0.000152866,5.06E+02,5.62E+02
26.4625,0.124766,0.415793,0.0790934,0.00649551,0.0804981,2.47E-03,0.284185,0.000852031,0.00584326,0.00631254,5.17E-05,0.000154183,5.00E+02,5.62E+02
26.645,0.123275,0.41488,0.078936,0.00649133,0.0805209,2.47E-03,0.286694,0.000859874,0.00586919,0.00637043,5.13E-05,0.000155526,4.94E+02,5.62E+02
26.8275,0.121803,0.413962,0.0787733,0.00648669,0.0805381,2.47E-03,0.2892,0.000867718,0.00589496,0.00642832,5.08E-05,0.000156895,4.88E+02,5.62E+02
27.01,0.120348,0.413041,0.0786054,0.00648159,0.0805496,2.47E-03,0.291705,0.000875561,0.00592055,0.00648621,5.04E-05,0.000158291,4.82E+02,5.62E+02
27.1925,0.11891,0.412116,0.0784324,0.00647604,0.0805555,2.47E-03,0.294207,0.000883403,0.00594598,0.00654408,4.99E-05,0.000159712,4.76E+02,5.62E+02
27.375,0.117489,0.411188,0.0782544,0.00647004,0.0805558,2.47E-03,0.296706,0.000891244,0.00597125,0.00660195,4.95E-05,0.000161161,4.71E+02,5.63E+02
27.5575,0.116086,0.410257,0.0780715,0.00646358,0.0805505,2.47E-03,0.299203,0.000899083,0.00599637,0.00665979,4.90E-05,0.000162636,4.65E+02,5.63E+02
27.74,0.1147,0.409324,0.0778836,0.00645668,0.0805396,2.47E-03,0.301697,0.000906919,0.00602132,0.00671762,4.86E-05,0.000164139,4.59E+02,5.63E+02
