Time_LA_1582,interpolated_La1582
21.0,6.172397527309367
22.0,50.54424260334778
23.0,82.87159382707318
24.0,105.04447347973847
25.0,118.95290384259646
26.0,126.48690719690005
27.0,129.53650582390202
28.0,130.00427319311433
29.0,130.01231676587844
30.0,130.01680074065274
31.0,130.01798885213327
32.0,130.01614483501604
33.0,130.01153242399704
34.0,130.00441535377237
35.0,129.99510426119343
36.0,129.98483674192167
37.0,129.9757001267624
38.0,129.96981316730094
39.0,129.96929461512244
40.0,129.9762632218123
41.0,129.99283773895567
42.0,130.47067789707432
43.0,132.91417577547142
44.0,138.61559781740053
45.0,147.64210984098403
46.0,159.23820204646034
47.0,172.63388110209834
48.0,187.05915367616703
49.0,212.8303561384912
50.0,237.47016893429196
51.0,256.6982597628858
52.0,271.9051665503322
53.0,284.53657332221803
54.0,296.0381641041304
55.0,307.8556229216562
56.0,323.5423860369682
57.0,342.5555954740572
58.0,363.6031702585564
59.0,385.6893902511252
60.0,407.81853531242245
61.0,428.99488530310737
62.0,448.2227200838389
63.0,451.3712387534132
64.0,452.8723417292805
65.0,454.34913010256525
66.0,455.80094699477354
67.0,457.2271355274114
68.0,458.6270388219849
69.0,460.0
