Time_F1_Tyking,interpolated_f1tyking
28,1.03676162
29,1.100685165
30,1.129739389
31,1.130302826
32,1.108754011
33,1.071471478
34,1.02483376
35,0.975219394
36,0.929006913
37,0.89257485
38,0.872301742
39,0.874566122
40,0.905746524
41,0.972221483
42,1.528218772
43,3.324049533
44,6.681585551
45,11.35585889
46,16.9037315
47,22.88199707
48,28.84744931
49,35.75290968
50,41.67234995
51,46.66688494
52,51.35933924
53,56.37253741
54,62.29976535
55,68.89586831
56,71.58491302
57,73.40695728
58,75.10156404
59,76.63500126
60,77.97353688
61,79.08343886
62,79.93097517
63,80.30609131
64,80.54836387
65,80.68163281
66,80.69966451
67,80.59622536
68,80.36508173
69,80
