Sp,Lp,Ip,Sv,Iv
0.65,0.25,0.1,0.5,0.5
0.601123,0.261702,0.137174,0.50995,0.49005
0.591549,0.263729,0.144722,0.518885,0.481115
0.588706,0.264406,0.146889,0.526921,0.473079
0.604665,0.261697,0.133638,0.534152,0.465848
0.61144,0.260545,0.128015,0.540665,0.459335
0.615621,0.259848,0.124531,0.54653,0.45347
0.590289,0.265007,0.144705,0.551809,0.448191
0.619003,0.259842,0.121155,0.556548,0.443452
0.665338,0.250442,0.0842204,0.560826,0.439174
0.683685,0.245746,0.0705693,0.564696,0.435304
0.676349,0.248007,0.0756441,0.568186,0.431814
0.696002,0.242556,0.0614426,0.571325,0.428675
0.691735,0.243986,0.0642786,0.574157,0.425843
0.681124,0.247347,0.0715296,0.576705,0.423295
0.695679,0.243121,0.0612001,0.578993,0.421007
0.679516,0.248342,0.0721419,0.581058,0.418942
0.704859,0.240954,0.0541868,0.58291,0.41709
0.713401,0.237963,0.0486352,0.584588,0.415412
0.701602,0.24227,0.0561276,0.586101,0.413899
0.717595,0.236785,0.0456197,0.587458,0.412542
0.713197,0.238392,0.0484113,0.588685,0.411315
0.70245,0.2423,0.05525,0.589788,0.410212
0.711602,0.239086,0.0493123,0.590777,0.409223
0.713538,0.238293,0.0481691,0.59167,0.40833
0.714484,0.237853,0.047663,0.592474,0.407526
0.739391,0.228456,0.0321522,0.593199,0.406801
0.744047,0.226123,0.0298302,0.59386,0.40614
0.741244,0.22724,0.0315156,0.594456,0.405544
0.730105,0.232199,0.0376962,0.594992,0.405008
0.719539,0.236523,0.0439379,0.59547,0.40453
0.728223,0.232994,0.0387827,0.595897,0.404103
0.758883,0.220026,0.0210911,0.596284,0.403716
0.756021,0.221241,0.0227377,0.596643,0.403357
0.776025,0.210146,0.0138288,0.596965,0.403035
0.771342,0.212635,0.0160228,0.59726,0.40274
0.788463,0.201669,0.00986868,0.597525,0.402475
0.787269,0.201873,0.0108576,0.597766,0.402234
0.774727,0.209937,0.0153366,0.597983,0.402017
0.776212,0.208552,0.0152363,0.598176,0.401824
0.766347,0.214224,0.0194292,0.598349,0.401651
0.770224,0.211659,0.0181164,0.598503,0.401497
0.773286,0.2095,0.0172135,0.598642,0.401358
0.767788,0.212376,0.0198353,0.598767,0.401233
0.769323,0.211192,0.0194859,0.598878,0.401122
0.755183,0.21885,0.0259662,0.598979,0.401021
0.758042,0.217187,0.0247707,0.599066,0.400934
0.76451,0.213639,0.0218507,0.599144,0.400856
0.767325,0.211846,0.0208286,0.599217,0.400783
0.762029,0.214467,0.023504,0.599282,0.400718
0.723374,0.234394,0.0422318,0.59934,0.40066
0.723399,0.234244,0.0423568,0.599381,0.400619
0.719825,0.23553,0.0446446,0.599417,0.400583
0.737253,0.228665,0.0340813,0.599449,0.400551
0.741966,0.22638,0.0316537,0.599484,0.400516
0.727653,0.232773,0.0395739,0.599516,0.400484
0.716323,0.237296,0.0463816,0.599541,0.400459
0.726733,0.233216,0.0400508,0.599559,0.400441
0.745598,0.22532,0.0290815,0.599579,0.400421
0.757015,0.219588,0.0233968,0.599604,0.400396
0.740693,0.227908,0.0313992,0.599629,0.400371
0.732736,0.231375,0.0358884,0.599648,0.400352
0.75529,0.221366,0.0233439,0.599661,0.400339
0.752614,0.222453,0.0249323,0.599681,0.400319
0.741763,0.227748,0.0304886,0.599698,0.400302
0.741171,0.227782,0.031047,0.59971,0.40029
0.725897,0.234684,0.0394192,0.59972,0.40028
0.729175,0.233138,0.0376875,0.599725,0.400275
0.738507,0.228982,0.0325109,0.59973,0.40027
0.744456,0.226041,0.0295027,0.599737,0.400263
0.730135,0.232643,0.037222,0.599746,0.400254
0.739616,0.2284,0.0319841,0.599749,0.400251
0.744764,0.225805,0.0294312,0.599755,0.400245
0.761076,0.21776,0.0211645,0.599762,0.400238
0.765944,0.214722,0.019334,0.599773,0.400227
0.769958,0.208829,0.021213,0.599784,0.400216
0.765231,0.207791,0.0269775,0.599793,0.400207
0.762777,0.205122,0.032101,0.599797,0.400203
0.768579,0.2027,0.0287218,0.599798,0.400202
0.760239,0.202718,0.0370426,0.599801,0.400199
0.790862,0.19082,0.0183181,0.599799,0.400201
0.806525,0.179063,0.0144125,0.599808,0.400192
