median_I,low_I,high_I,Time_F1_Tyking
0.1546267932051956,0.12484982642421884,0.18777497245280245,28
0.2789431099648202,0.18611625665910037,0.3751335503884581,29
0.5436476813088026,0.32256675670694657,0.765472897050531,30
1.0012811719254509,0.5698875761349994,1.4172672889831932,31
1.6882855668672625,0.9587931509198213,2.3639425024077925,32
2.626825131645523,1.5180439815563267,3.620309938197667,33
3.826883900424814,2.264322833280091,5.188114572669348,34
5.282405563985268,3.2063302061676513,7.051858861744599,35
6.9805047728298675,4.350060111771992,9.182048876099035,36
8.900192539487167,5.691896240462773,11.561659923204205,37
11.013157851464758,7.208941379693862,14.158825234282258,38
13.291859747957213,8.908875120206176,16.918316152840365,39
15.70512017923678,10.762351120634445,19.81263084785528,40
18.234863850264354,12.765818423999082,22.81871014995112,41
20.856776047212826,14.876841477132812,25.91633001028952,42
23.54161217182871,17.06485461118998,29.077417905004832,43
26.283779411740063,19.34480699127623,32.284318746511644,44
29.06092937432956,21.70542284905981,35.538819380592166,45
31.86765798474964,24.11288639305149,38.82213647279188,46
34.70351751834809,26.569536292958542,42.12296725312099,47
37.5573415860963,29.04679023411887,45.4259210008255,48
40.41197865904395,31.56099256171581,48.75213150561182,49
43.274858436677675,34.07578912072447,52.071747650332185,50
46.14512921244328,36.591172949158974,55.39180716684405,51
49.01152600197352,39.13268857671392,58.70882505650063,52
51.882839011986306,41.64633898897664,62.03040862736712,53
54.74649808393449,44.16538561706791,65.33741873108556,54
57.59702200022068,46.6873810250544,68.60695661996442,55
60.450051885154394,49.173989609509846,71.87285317014602,56
63.2919575921656,51.66273222616986,75.16083526067493,57
66.12954423435998,54.12935759967083,78.43185404910533,58
68.95269194305757,56.589576232317484,81.69665833896397,59
71.76636687891578,59.0511956630024,84.94348899492067,60
74.58211501195845,61.509522333826204,88.15796587741849,61
77.38196057490242,63.959868155534615,91.38272514554978,62
80.17923581772851,66.38311802315033,94.59130507343997,63
82.96616222149882,68.7767378411816,97.79484320831426,64
85.74725978117033,71.13991253334572,100.96980523815391,65
88.50990609637272,73.54028147236328,104.14879772758032,66
91.26981100822717,75.93795319003806,107.3109308670134,67
94.00861603880024,78.36986879994414,110.45323642215905,68
96.75708142575702,80.73615321672428,113.58493646180803,69
