median_I,low_I,high_I,Time_F1_Tyking
1.5462679320519558e-4,1.2484982642421884e-4,1.8777497245280246e-4,28
2.789431099648202e-4,1.8611625665910036e-4,3.751335503884581e-4,29
5.436476813088026e-4,3.2256675670694655e-4,7.65472897050531e-4,30
0.0010012811719254508,5.698875761349994e-4,0.0014172672889831931,31
0.0016882855668672624,9.587931509198213e-4,0.0023639425024077924,32
0.002626825131645523,0.0015180439815563266,0.003620309938197667,33
0.003826883900424814,0.0022643228332800912,0.005188114572669348,34
0.005282405563985268,0.0032063302061676514,0.0070518588617445995,35
0.006980504772829867,0.004350060111771992,0.009182048876099035,36
0.008900192539487166,0.005691896240462773,0.011561659923204206,37
0.011013157851464757,0.007208941379693862,0.014158825234282258,38
0.013291859747957213,0.008908875120206175,0.016918316152840365,39
0.015705120179236778,0.010762351120634445,0.01981263084785528,40
0.018234863850264352,0.012765818423999082,0.02281871014995112,41
0.020856776047212824,0.014876841477132812,0.02591633001028952,42
0.02354161217182871,0.017064854611189978,0.029077417905004833,43
0.026283779411740062,0.01934480699127623,0.032284318746511644,44
0.02906092937432956,0.02170542284905981,0.03553881938059217,45
0.031867657984749644,0.02411288639305149,0.03882213647279188,46
0.03470351751834809,0.02656953629295854,0.04212296725312099,47
0.0375573415860963,0.02904679023411887,0.045425921000825494,48
0.04041197865904395,0.03156099256171581,0.04875213150561182,49
0.04327485843667767,0.034075789120724474,0.052071747650332185,50
0.04614512921244328,0.03659117294915897,0.055391807166844054,51
0.04901152600197352,0.03913268857671392,0.05870882505650063,52
0.05188283901198631,0.041646338988976635,0.062030408627367126,53
0.05474649808393449,0.04416538561706791,0.06533741873108556,54
0.05759702200022068,0.0466873810250544,0.06860695661996442,55
0.06045005188515439,0.04917398960950985,0.07187285317014601,56
0.0632919575921656,0.05166273222616986,0.07516083526067494,57
0.06612954423435999,0.05412935759967083,0.07843185404910533,58
0.06895269194305757,0.05658957623231748,0.08169665833896397,59
0.07176636687891577,0.059051195663002404,0.08494348899492067,60
0.07458211501195845,0.06150952233382621,0.08815796587741849,61
0.07738196057490242,0.06395986815553462,0.09138272514554978,62
0.08017923581772851,0.06638311802315033,0.09459130507343996,63
0.08296616222149882,0.0687767378411816,0.09779484320831426,64
0.08574725978117033,0.07113991253334573,0.10096980523815391,65
0.08850990609637271,0.07354028147236327,0.10414879772758032,66
0.09126981100822716,0.07593795319003806,0.10731093086701339,67
0.09400861603880024,0.07836986879994415,0.11045323642215905,68
0.09675708142575702,0.08073615321672428,0.11358493646180803,69
