Sp,Lp,Ip,Sv,Iv
0.65,0.25,0.1,0.5,0.5
0.643677,0.251913,0.104411,0.50995,0.49005
0.606695,0.260577,0.132728,0.518902,0.481098
0.594973,0.263028,0.141998,0.526943,0.473057
0.574962,0.266798,0.15824,0.534174,0.465826
0.657961,0.25291,0.0891294,0.540672,0.459328
0.648058,0.255612,0.0963302,0.546556,0.453444
0.618022,0.262987,0.118991,0.551848,0.448152
0.624447,0.26168,0.113873,0.556598,0.443402
0.603168,0.266294,0.130538,0.560874,0.439126
0.629622,0.261052,0.109326,0.564714,0.435286
0.682254,0.249361,0.0683846,0.568181,0.431819
0.713301,0.239966,0.0467332,0.571324,0.428676
0.70162,0.244373,0.054007,0.574165,0.425835
0.68463,0.250303,0.0650676,0.576717,0.423283
0.684267,0.250374,0.0653588,0.579008,0.420992
0.669849,0.254849,0.0753016,0.581069,0.418931
0.687376,0.249728,0.062896,0.582919,0.417081
0.686477,0.24994,0.0635834,0.58459,0.41541
0.684465,0.250499,0.0650364,0.586094,0.413906
0.715076,0.240759,0.0441645,0.587446,0.412554
0.733721,0.233256,0.0330233,0.588676,0.411324
0.741946,0.229266,0.028788,0.589789,0.410211
0.735414,0.232188,0.0323981,0.590793,0.409207
0.74343,0.228259,0.028311,0.591695,0.408305
0.743445,0.227983,0.0285715,0.592508,0.407492
0.73072,0.233933,0.0353467,0.593241,0.406759
0.723008,0.237129,0.0398628,0.593896,0.406104
0.731063,0.233597,0.0353395,0.594482,0.405518
0.74166,0.22871,0.0296303,0.595013,0.404987
0.742669,0.227968,0.0293631,0.595494,0.404506
0.72063,0.23832,0.0410504,0.595927,0.404073
0.755508,0.22384,0.0206522,0.59631,0.40369
0.745948,0.228799,0.0252529,0.596667,0.403333
0.740795,0.23111,0.0280952,0.596985,0.403015
0.745799,0.228299,0.0259025,0.59727,0.40273
0.740311,0.230767,0.0289224,0.597527,0.402473
0.751696,0.224899,0.0234042,0.597757,0.402243
0.757199,0.221586,0.0212145,0.597968,0.402032
0.749632,0.225393,0.0249747,0.598158,0.401842
0.75813,0.220647,0.0212236,0.598327,0.401673
0.756687,0.221062,0.0222503,0.598482,0.401518
0.765058,0.21616,0.0187817,0.59862,0.40138
