t,S_p,Lp,Ip,Sv,Iv
0.0,650.0,250.0,100.0,300.0,200.0
0.052298295181213816,219.96303129771445,678.1276900750308,101.90927862725475,284.176677646144,215.0917202945018
0.07670479342064161,129.1940862018084,767.5915312097145,103.21438258847712,276.96404962310123,221.96331788314006
0.11664684123782863,52.32777170533534,842.0721272171259,105.60010107753877,265.35878097778306,233.01101727674856
0.14879262832001117,24.614962559381063,867.7540424731869,107.63099496743195,256.1905807312385,241.7309648039762
0.18558973073849086,10.17256769210989,879.8221508115498,110.0052814963402,245.88519504329287,251.52376846617074
0.22000892173378844,4.441970064604768,883.3142479351687,112.24378200022642,236.43418544130364,260.49583215214034
0.25550624581609155,1.9631426547122381,883.4809689287972,114.55588841649048,226.88493671101722,269.5516504086399
0.2901295060070173,0.9836189682674078,882.2078349482284,116.80854608350414,217.77113880021653,278.18467371889403
0.3251041700349847,0.5878960445413047,880.3330695584307,119.07903439702802,208.7721061278519,286.6985589803433
0.36039247439419664,0.4306408532965667,878.2056240444133,121.36373510229015,199.90934138829888,295.07234131138284
0.39723790258186314,0.36549580779108914,875.8922692645561,123.74223492765277,190.89363385475298,303.578041835121
0.43666214478989723,0.33608399015982954,873.3848150353688,126.2791009744714,181.52183438577055,312.40476281622404
0.4801925784820576,0.3197011163471894,870.6098942113407,129.07040467231215,171.50978439464222,321.8157106503865
0.5294340661294128,0.3075719926155939,867.4768830731878,132.21554493419669,160.6149698133398,332.0315059435057
0.5864661319464894,0.29644705009476824,863.861635715535,135.8419172343702,148.57359052281927,343.287689824238
0.6529378417524379,0.28544361327619894,859.6681195112503,140.04643687547343,135.32406574735722,355.62375159517137
0.7278224795953598,0.2748535058519106,854.9703576791477,144.75478881500032,121.40577041550823,368.51515199153897
0.8080266280169353,0.26522845293246816,849.9702353605713,149.76453618649617,107.66695045402489,381.15668602281966
0.8919290605658702,0.25673498379230547,844.7743443947595,154.96892062144812,94.55509869921802,393.12347714968143
0.9777989309853513,0.24943118362024372,839.4934678155035,160.25710100087608,82.42144338216018,404.0882017391204
1.0639326383550975,0.2432852361493309,834.2337766869355,165.52293807691504,71.49512054390661,413.84502355520374
1.148868165683076,0.23819455951331456,829.0838618028115,170.67794363767499,61.872024365573054,422.3178427417945
1.231763785296196,0.23400443855915254,824.0925854669149,175.67341009452576,53.51107539961193,429.5589637656405
1.3125091970323137,0.23054746229229492,819.2638531465342,180.50559939117332,46.276722097236416,435.705210230048
1.3915100974666839,0.22767901292799936,814.5709032184101,185.20141776866174,40.001358084144506,440.91852398519643
1.469355025933043,0.22528885947415006,809.9769125714425,189.7977985690831,34.53159287208088,445.34423849648397
1.5465553226079205,0.22329616633318064,805.4505124946994,194.32619133896722,29.74706513503389,449.0957665137576
1.6234326341543055,0.2216407537397085,800.9721430984072,198.80621614785295,25.55879493600793,452.25773348423127
1.7001246262479595,0.22027576349506556,796.5333484913667,203.246375745138,21.899290080019775,454.8957648228992
1.7766512362658096,0.2191625541952549,792.1326273511124,207.64821009469208,18.71274252308592,457.0653814938615
1.852988273334701,0.2182678091765928,787.7710204881986,212.01071170262455,15.948880676540563,458.8171549485565
1.9291191471443954,0.21756231134447504,783.4491027087524,216.3333349799028,13.560493281845648,460.1984930735126
2.0050576858320506,0.21702056140316547,779.1657147277211,220.61726471087542,11.503199487979339,461.2535704888142
2.080844872941179,0.2166205512195409,774.9182010964832,224.86517835229694,9.736108014055084,462.0227168780024
2.1565341289091067,0.2163433916475752,770.7032757685719,229.0803808397803,8.222347881177628,462.5420834341815
2.2321768825633495,0.21617282523405856,766.5178393032448,233.26598787152085,6.929157128681843,462.8437448587488
2.307814328394994,0.2160947525600099,762.359426127277,237.4244791201628,5.82761457210843,462.95607493536494
2.3834758484239056,0.21609685666353554,758.2262716358942,241.55763150744198,4.892216562851699,462.9041887844579
2.459181787767879,0.21616834056912215,754.117140755834,245.6666909035966,4.1004534662718175,462.710328518537
2.534950418469969,0.2162997842802929,750.0309374492039,249.75276276651556,3.4324332353426055,462.3941479646802
2.6107928719668165,0.216482906999905,745.9669716253694,253.81654546763036,2.870678104663125,461.97298125628504
2.6867197146896573,0.2167104962346147,741.9245976629045,257.85869184086056,2.399833234729052,461.4620482004518
2.7627420839767143,0.21697630145708868,737.9031534603565,261.879870238186,2.0064637191748766,460.8746425457381
2.8388712312451925,0.217274920450305,733.9019852672068,265.88073981234254,1.6788711934971374,460.2223213273936
2.9151176322363894,0.21760168884281378,729.9204941072511,269.86190420390574,1.4069175432330365,459.5150925862867
2.991490292083258,0.2179525808846156,725.9581703220374,273.8238770970777,1.181855291496912,458.7615937587697
3.0679965454416114,0.2183241261544235,722.0146012919266,277.7670745819187,0.9961674698033062,457.96925414008695
3.144642239752438,0.21871334061321232,718.0894592269458,281.69182743244073,0.8434199076548355,457.1444400135491
3.221432087164234,0.21911766822844,714.1824808017494,285.5984015300218,0.7181270695910058,456.2925841213041
3.29837001396244,0.21953492969758898,710.2934476431212,289.48701742718083,0.615631182575437,455.4183019386529
3.375459441363505,0.21996327638743962,706.4221709641644,293.3578657594478,0.5319937645625509,454.5254964772196
3.4527034150879095,0.22040114745010206,702.5684842843648,297.2111145681847,0.46389865676396885,453.6174535427012
3.530104628234353,0.22084723020789254,698.7322416819565,301.04691108783527,0.4085655937179729,452.6969278213516
3.6076654648727513,0.22130042538580852,694.9133150779624,304.86538449665153,0.3636734742197755,451.76621900938136
3.6853880233786156,0.22175981616678464,691.1115925964658,308.66664758736715,0.327292704965237,450.8272391312888
