"t","L","S","E","I_S","I_A","H","R","D","V","J","u_L","u_V"
"92.1625","0.00626014","0.320767","0.00412717","0.000387752","0.00560531","0.000160228","0.444135","0.00169087","0.21687","0.0142476","1.01E-05","0.00342174"
"92.345","0.00621428","0.32103","0.00409814","0.000384948","0.00556387","0.000159054","0.443874","0.00169137","0.216989","0.0142519","1.02E-05","0.00341557"
"92.5275","0.00616878","0.321292","0.00406936","0.000382168","0.00552278","0.000157889","0.443611","0.00169187","0.217107","0.0142561","1.02E-05","0.00340944"
"92.71","0.00612364","0.321555","0.00404082","0.000379412","0.00548204","0.000156734","0.443348","0.00169237","0.217226","0.0142603","1.02E-05","0.00340333"
"92.8925","0.00607885","0.321819","0.00401252","0.000376679","0.00544165","0.000155589","0.443083","0.00169286","0.217344","0.0142644","1.02E-05","0.00339725"
"93.075","0.00603441","0.322082","0.00398445","0.000373969","0.0054016","0.000154454","0.442817","0.00169335","0.217462","0.0142686","1.02E-05","0.00339121"
"93.2575","0.00599032","0.322346","0.00395662","0.000371282","0.0053619","0.000153328","0.44255","0.00169383","0.21758","0.0142727","1.02E-05","0.00338519"
"93.44","0.00594657","0.32261","0.00392902","0.000368618","0.00532253","0.000152212","0.442282","0.00169432","0.217698","0.0142767","1.02E-05","0.0033792"
"93.6225","0.00590317","0.322875","0.00390165","0.000365976","0.00528349","0.000151106","0.442013","0.00169479","0.217816","0.0142808","1.02E-05","0.00337324"
"93.805","0.0058601","0.32314","0.00387451","0.000363357","0.00524479","0.000150009","0.441743","0.00169527","0.217933","0.0142848","1.02E-05","0.0033673"
"93.9875","0.00581737","0.323405","0.00384759","0.00036076","0.00520641","0.000148921","0.441472","0.00169574","0.21805","0.0142888","1.02E-05","0.0033614"
"94.17","0.00577496","0.323671","0.0038209","0.000358184","0.00516836","0.000147843","0.4412","0.00169621","0.218167","0.0142927","1.02E-05","0.00335552"
"94.3525","0.00573289","0.323936","0.00379443","0.000355631","0.00513063","0.000146774","0.440926","0.00169667","0.218284","0.0142967","1.02E-05","0.00334968"
"94.535","0.00569115","0.324202","0.00376818","0.000353099","0.00509322","0.000145713","0.440652","0.00169714","0.218401","0.0143006","1.02E-05","0.00334385"
"94.7175","0.00564973","0.324469","0.00374214","0.000350588","0.00505613","0.000144662","0.440377","0.00169759","0.218518","0.0143045","1.02E-05","0.00333806"
"94.9","0.00560864","0.324735","0.00371633","0.000348099","0.00501936","0.00014362","0.440101","0.00169805","0.218634","0.0143083","1.02E-05","0.00333229"
"95.0825","0.00556786","0.325002","0.00369072","0.00034563","0.00498289","0.000142587","0.439824","0.0016985","0.21875","0.0143121","1.02E-05","0.00332655"
"95.265","0.0055274","0.325269","0.00366533","0.000343182","0.00494674","0.000141562","0.439545","0.00169895","0.218866","0.014316","1.02E-05","0.00332084"
"95.4475","0.00548725","0.325537","0.00364015","0.000340755","0.00491088","0.000140546","0.439266","0.00169939","0.218982","0.0143197","1.02E-05","0.00331515"
"95.63","0.00544741","0.325804","0.00361517","0.000338348","0.00487534","0.000139538","0.438986","0.00169984","0.219098","0.0143235","1.02E-05","0.00330949"
"95.8125","0.00540789","0.326072","0.0035904","0.000335961","0.00484009","0.000138539","0.438705","0.00170027","0.219214","0.0143272","1.02E-05","0.00330386"
"95.995","0.00536867","0.32634","0.00356584","0.000333594","0.00480514","0.000137549","0.438423","0.00170071","0.219329","0.0143309","1.02E-05","0.00329825"
"96.1775","0.00532975","0.326609","0.00354148","0.000331247","0.00477048","0.000136567","0.43814","0.00170114","0.219444","0.0143346","1.02E-05","0.00329267"
"96.36","0.00529113","0.326877","0.00351732","0.00032892","0.00473612","0.000135593","0.437857","0.00170157","0.219559","0.0143383","1.02E-05","0.00328711"
"96.5425","0.00525282","0.327146","0.00349336","0.000326612","0.00470205","0.000134627","0.437572","0.001702","0.219674","0.0143419","1.02E-05","0.00328158"
"96.725","0.0052148","0.327415","0.00346959","0.000324324","0.00466826","0.00013367","0.437287","0.00170242","0.219789","0.0143455","1.02E-05","0.00327607"
"96.9075","0.00517707","0.327685","0.00344602","0.000322054","0.00463476","0.00013272","0.437","0.00170284","0.219904","0.0143491","1.02E-05","0.00327059"
"97.09","0.00513964","0.327954","0.00342265","0.000319804","0.00460154","0.000131779","0.436713","0.00170326","0.220018","0.0143526","1.02E-05","0.00326513"
"97.2725","0.00510249","0.328224","0.00339946","0.000317572","0.0045686","0.000130845","0.436425","0.00170367","0.220133","0.0143562","1.02E-05","0.0032597"
"97.455","0.00506563","0.328494","0.00337647","0.000315359","0.00453594","0.00012992","0.436136","0.00170408","0.220247","0.0143597","1.02E-05","0.00325429"
"97.6375","0.00502906","0.328764","0.00335366","0.000313164","0.00450355","0.000129002","0.435847","0.00170449","0.220361","0.0143632","1.03E-05","0.0032489"
"97.82","0.00499277","0.329034","0.00333104","0.000310987","0.00447143","0.000128091","0.435556","0.0017049","0.220475","0.0143666","1.03E-05","0.00324354"
"98.0025","0.00495675","0.329305","0.0033086","0.000308829","0.00443958","0.000127189","0.435265","0.0017053","0.220589","0.0143701","1.03E-05","0.00323821"
"98.185","0.00492102","0.329575","0.00328635","0.000306689","0.004408","0.000126294","0.434973","0.0017057","0.220702","0.0143735","1.03E-05","0.00323289"
"98.3675","0.00488556","0.329846","0.00326428","0.000304566","0.00437669","0.000125406","0.43468","0.0017061","0.220816","0.0143769","1.03E-05","0.0032276"
"98.55","0.00485037","0.330117","0.00324239","0.000302461","0.00434564","0.000124526","0.434386","0.00170649","0.220929","0.0143803","1.03E-05","0.00322234"
"98.7325","0.00481546","0.330389","0.00322068","0.000300373","0.00431484","0.000123653","0.434092","0.00170688","0.221042","0.0143836","1.03E-05","0.0032171"
"98.915","0.00478081","0.33066","0.00319914","0.000298303","0.00428431","0.000122788","0.433797","0.00170727","0.221155","0.014387","1.03E-05","0.00321187"
"99.0975","0.00474643","0.330932","0.00317778","0.00029625","0.00425403","0.000121929","0.433501","0.00170766","0.221268","0.0143903","1.03E-05","0.00320668"
"99.28","0.00471231","0.331203","0.00315659","0.000294213","0.004224","0.000121078","0.433204","0.00170804","0.221381","0.0143936","1.03E-05","0.0032015"
"99.4625","0.00467846","0.331475","0.00313558","0.000292194","0.00419423","0.000120234","0.432907","0.00170842","0.221493","0.0143969","1.03E-05","0.00319635"
"99.645","0.00464487","0.331747","0.00311473","0.000290191","0.0041647","0.000119397","0.432609","0.0017088","0.221606","0.0144001","1.03E-05","0.00319122"
"99.8275","0.00461153","0.33202","0.00309406","0.000288205","0.00413542","0.000118567","0.43231","0.00170918","0.221718","0.0144033","1.03E-05","0.00318611"
"100.01","0.00457845","0.332292","0.00307355","0.000286235","0.00410638","0.000117744","0.43201","0.00170955","0.22183","0.0144065","1.03E-05","0.00318102"
"100.193","0.00454563","0.332564","0.00305321","0.000284281","0.00407758","0.000116928","0.43171","0.00170992","0.221942","0.0144097","1.03E-05","0.00317596"
"100.375","0.00451305","0.332837","0.00303303","0.000282344","0.00404903","0.000116118","0.431409","0.00171029","0.222054","0.0144129","1.03E-05","0.00317092"
"100.558","0.00448073","0.33311","0.00301301","0.000280422","0.00402071","0.000115315","0.431108","0.00171065","0.222166","0.0144161","1.03E-05","0.00316589"
"100.74","0.00444865","0.333383","0.00299316","0.000278516","0.00399263","0.000114519","0.430806","0.00171102","0.222277","0.0144192","1.03E-05","0.00316089"
"100.923","0.00441682","0.333656","0.00297346","0.000276626","0.00396478","0.00011373","0.430503","0.00171138","0.222389","0.0144223","1.03E-05","0.00315591"
"101.105","0.00438524","0.333929","0.00295393","0.000274751","0.00393716","0.000112947","0.430199","0.00171173","0.2225","0.0144254","1.03E-05","0.00315095"
"101.288","0.00435389","0.334202","0.00293455","0.000272892","0.00390977","0.00011217","0.429895","0.00171209","0.222611","0.0144284","1.03E-05","0.00314602"
"101.47","0.00432279","0.334476","0.00291532","0.000271048","0.00388261","0.0001114","0.429591","0.00171244","0.222722","0.0144315","1.03E-05","0.0031411"
"101.653","0.00429192","0.334749","0.00289626","0.000269219","0.00385567","0.000110636","0.429285","0.00171279","0.222833","0.0144345","1.03E-05","0.0031362"
"101.835","0.00426129","0.335023","0.00287734","0.000267405","0.00382896","0.000109879","0.428979","0.00171314","0.222944","0.0144375","1.03E-05","0.00313133"
"102.018","0.0042309","0.335297","0.00285858","0.000265605","0.00380247","0.000109127","0.428673","0.00171349","0.223055","0.0144405","1.03E-05","0.00312647"
"102.2","0.00420073","0.335571","0.00283996","0.000263821","0.00377619","0.000108382","0.428366","0.00171383","0.223165","0.0144435","1.03E-05","0.00312163"
"102.383","0.0041708","0.335845","0.0028215","0.000262051","0.00375014","0.000107643","0.428058","0.00171417","0.223276","0.0144464","1.03E-05","0.00311682"
"102.565","0.00414109","0.336119","0.00280318","0.000260295","0.0037243","0.00010691","0.42775","0.00171451","0.223386","0.0144494","1.03E-05","0.00311202"
"102.747","0.00411162","0.336393","0.00278501","0.000258554","0.00369867","0.000106184","0.427441","0.00171484","0.223496","0.0144523","1.03E-05","0.00310724"
"102.93","0.00408236","0.336667","0.00276698","0.000256826","0.00367325","0.000105463","0.427131","0.00171518","0.223606","0.0144552","1.03E-05","0.00310248"
"103.112","0.00405333","0.336942","0.0027491","0.000255113","0.00364804","0.000104748","0.426821","0.00171551","0.223716","0.0144581","1.03E-05","0.00309774"
"103.295","0.00402453","0.337216","0.00273136","0.000253414","0.00362304","0.000104039","0.426511","0.00171584","0.223826","0.0144609","1.03E-05","0.00309302"
"103.477","0.00399594","0.33749","0.00271376","0.000251729","0.00359825","0.000103335","0.4262","0.00171617","0.223935","0.0144638","1.03E-05","0.00308832"
"103.66","0.00396757","0.337765","0.0026963","0.000250057","0.00357366","0.000102638","0.425888","0.00171649","0.224045","0.0144666","1.03E-05","0.00308364"
"103.842","0.00393941","0.33804","0.00267898","0.000248398","0.00354927","0.000101946","0.425576","0.00171682","0.224154","0.0144694","1.03E-05","0.00307898"
"104.025","0.00391147","0.338315","0.0026618","0.000246754","0.00352508","0.00010126","0.425263","0.00171714","0.224263","0.0144722","1.03E-05","0.00307433"
"104.207","0.00388375","0.338589","0.00264475","0.000245122","0.00350109","0.000100579","0.42495","0.00171745","0.224372","0.014475","1.03E-05","0.00306971"
"104.39","0.00385623","0.338864","0.00262784","0.000243504","0.0034773","9.99E-05","0.424637","0.00171777","0.224481","0.0144778","1.03E-05","0.0030651"
"104.572","0.00382892","0.339139","0.00261106","0.000241898","0.0034537","9.92E-05","0.424322","0.00171809","0.22459","0.0144805","1.03E-05","0.00306051"
"104.755","0.00380182","0.339414","0.00259442","0.000240306","0.0034303","9.86E-05","0.424008","0.0017184","0.224699","0.0144832","1.03E-05","0.00305594"
"104.937","0.00377493","0.339689","0.0025779","0.000238726","0.00340708","9.79E-05","0.423693","0.00171871","0.224808","0.0144859","1.03E-05","0.00305138"
"105.12","0.00374824","0.339964","0.00256152","0.000237159","0.00338406","9.73E-05","0.423377","0.00171902","0.224916","0.0144886","1.03E-05","0.00304684"
"105.302","0.00372176","0.34024","0.00254526","0.000235605","0.00336122","9.66E-05","0.423061","0.00171932","0.225024","0.0144913","1.03E-05","0.00304233"
"105.485","0.00369548","0.340515","0.00252914","0.000234063","0.00333857","9.60E-05","0.422745","0.00171963","0.225133","0.014494","1.03E-05","0.00303782"
"105.667","0.00366939","0.34079","0.00251314","0.000232534","0.00331611","9.53E-05","0.422428","0.00171993","0.225241","0.0144966","1.03E-05","0.00303334"
"105.85","0.00364351","0.341065","0.00249726","0.000231017","0.00329383","9.47E-05","0.42211","0.00172023","0.225349","0.0144992","1.04E-05","0.00302887"
"106.032","0.00361782","0.341341","0.00248151","0.000229512","0.00327172","9.41E-05","0.421792","0.00172053","0.225457","0.0145019","1.04E-05","0.00302442"
"106.215","0.00359232","0.341616","0.00246589","0.000228019","0.0032498","9.34E-05","0.421474","0.00172082","0.225564","0.0145044","1.04E-05","0.00301999"
"106.397","0.00356702","0.341892","0.00245038","0.000226538","0.00322806","9.28E-05","0.421155","0.00172112","0.225672","0.014507","1.04E-05","0.00301557"
"106.58","0.00354191","0.342167","0.002435","0.000225069","0.00320649","9.22E-05","0.420836","0.00172141","0.225779","0.0145096","1.04E-05","0.00301117"
"106.762","0.00351699","0.342443","0.00241974","0.000223611","0.0031851","9.16E-05","0.420517","0.0017217","0.225887","0.0145121","1.04E-05","0.00300679"
"106.945","0.00349226","0.342718","0.0024046","0.000222165","0.00316389","9.10E-05","0.420197","0.00172199","0.225994","0.0145147","1.04E-05","0.00300242"
"107.127","0.00346772","0.342994","0.00238957","0.000220731","0.00314284","9.04E-05","0.419877","0.00172227","0.226101","0.0145172","1.04E-05","0.00299807"
"107.31","0.00344337","0.343269","0.00237467","0.000219308","0.00312196","8.98E-05","0.419556","0.00172256","0.226208","0.0145197","1.04E-05","0.00299374"
"107.492","0.00341919","0.343545","0.00235987","0.000217896","0.00310126","8.92E-05","0.419235","0.00172284","0.226315","0.0145222","1.04E-05","0.00298942"
"107.675","0.0033952","0.343821","0.0023452","0.000216496","0.00308072","8.86E-05","0.418913","0.00172312","0.226422","0.0145247","1.04E-05","0.00298512"
"107.857","0.0033714","0.344096","0.00233064","0.000215107","0.00306034","8.81E-05","0.418591","0.0017234","0.226528","0.0145271","1.04E-05","0.00298083"
"108.04","0.00334777","0.344372","0.00231619","0.000213729","0.00304013","8.75E-05","0.418269","0.00172368","0.226635","0.0145296","1.04E-05","0.00297656"
"108.222","0.00332432","0.344647","0.00230185","0.000212361","0.00302009","8.69E-05","0.417947","0.00172395","0.226741","0.014532","1.04E-05","0.0029723"
"108.405","0.00330105","0.344923","0.00228763","0.000211005","0.0030002","8.64E-05","0.417624","0.00172422","0.226848","0.0145344","1.04E-05","0.00296806"
"108.587","0.00327796","0.345199","0.00227351","0.000209659","0.00298048","8.58E-05","0.4173","0.0017245","0.226954","0.0145368","1.04E-05","0.00296384"
"108.77","0.00325504","0.345474","0.0022595","0.000208324","0.00296091","8.52E-05","0.416977","0.00172477","0.22706","0.0145392","1.04E-05","0.00295963"
"108.953","0.00323229","0.34575","0.00224561","0.000206999","0.0029415","8.47E-05","0.416653","0.00172503","0.227166","0.0145416","1.04E-05","0.00295543"
"109.135","0.00320972","0.346026","0.00223182","0.000205685","0.00292225","8.41E-05","0.416328","0.0017253","0.227272","0.014544","1.04E-05","0.00295126"
"109.317","0.00318731","0.346302","0.00221813","0.000204381","0.00290315","8.36E-05","0.416004","0.00172557","0.227378","0.0145463","1.04E-05","0.00294709"
"109.5","0.00316508","0.346577","0.00220455","0.000203088","0.0028842","8.31E-05","0.415679","0.00172583","0.227483","0.0145486","1.04E-05","0.00294294"
"109.682","0.00314301","0.346853","0.00219108","0.000201804","0.00286541","8.25E-05","0.415353","0.00172609","0.227589","0.014551","1.04E-05","0.00293881"
"109.865","0.00312111","0.347129","0.00217771","0.000200531","0.00284676","8.20E-05","0.415028","0.00172635","0.227694","0.0145533","1.04E-05","0.00293469"
"110.047","0.00309938","0.347404","0.00216444","0.000199268","0.00282827","8.15E-05","0.414702","0.00172661","0.2278","0.0145556","1.04E-05","0.00293058"
"110.23","0.0030778","0.34768","0.00215127","0.000198014","0.00280992","8.10E-05","0.414376","0.00172686","0.227905","0.0145578","1.04E-05","0.00292649"
"110.412","0.0030564","0.347955","0.00213821","0.000196771","0.00279172","8.04E-05","0.414049","0.00172712","0.22801","0.0145601","1.04E-05","0.00292241"
"110.595","0.00303515","0.348231","0.00212524","0.000195537","0.00277366","7.99E-05","0.413723","0.00172737","0.228115","0.0145624","1.04E-05","0.00291835"
"110.778","0.00301406","0.348507","0.00211238","0.000194313","0.00275575","7.94E-05","0.413395","0.00172762","0.22822","0.0145646","1.04E-05","0.0029143"
"110.96","0.00299314","0.348782","0.00209961","0.000193098","0.00273798","7.89E-05","0.413068","0.00172787","0.228324","0.0145668","1.04E-05","0.00291026"
"111.142","0.00297237","0.349058","0.00208694","0.000191893","0.00272035","7.84E-05","0.412741","0.00172812","0.228429","0.014569","1.04E-05","0.00290624"
"111.325","0.00295175","0.349333","0.00207437","0.000190697","0.00270286","7.79E-05","0.412413","0.00172837","0.228533","0.0145712","1.04E-05","0.00290223"
"111.507","0.00293129","0.349609","0.00206189","0.000189511","0.00268551","7.74E-05","0.412084","0.00172861","0.228638","0.0145734","1.04E-05","0.00289824"
"111.69","0.00291099","0.349884","0.00204951","0.000188333","0.0026683","7.69E-05","0.411756","0.00172886","0.228742","0.0145756","1.04E-05","0.00289426"
"111.873","0.00289084","0.350159","0.00203722","0.000187165","0.00265123","7.64E-05","0.411427","0.0017291","0.228846","0.0145778","1.04E-05","0.00289029"
"112.055","0.00287084","0.350435","0.00202503","0.000186006","0.00263429","7.60E-05","0.411099","0.00172934","0.22895","0.0145799","1.04E-05","0.00288634"
"112.237","0.00285099","0.35071","0.00201292","0.000184856","0.00261748","7.55E-05","0.410769","0.00172958","0.229054","0.0145821","1.04E-05","0.0028824"
"112.42","0.00283129","0.350985","0.00200091","0.000183715","0.00260081","7.50E-05","0.41044","0.00172982","0.229158","0.0145842","1.04E-05","0.00287847"
"112.602","0.00281174","0.351261","0.00198899","0.000182583","0.00258426","7.45E-05","0.41011","0.00173005","0.229262","0.0145863","1.04E-05","0.00287455"
"112.785","0.00279234","0.351536","0.00197716","0.000181459","0.00256785","7.41E-05","0.40978","0.00173029","0.229366","0.0145884","1.04E-05","0.00287065"
"112.968","0.00277308","0.351811","0.00196543","0.000180345","0.00255157","7.36E-05","0.40945","0.00173052","0.229469","0.0145905","1.04E-05","0.00286676"
"113.15","0.00275397","0.352086","0.00195377","0.000179238","0.00253541","7.32E-05","0.40912","0.00173075","0.229573","0.0145926","1.04E-05","0.00286289"
"113.332","0.002735","0.352361","0.00194221","0.000178141","0.00251939","7.27E-05","0.40879","0.00173098","0.229676","0.0145947","1.04E-05","0.00285902"
"113.515","0.00271617","0.352636","0.00193074","0.000177051","0.00250348","7.22E-05","0.408459","0.00173121","0.229779","0.0145967","1.04E-05","0.00285517"
"113.698","0.00269748","0.352911","0.00191935","0.000175971","0.00248771","7.18E-05","0.408128","0.00173144","0.229882","0.0145988","1.04E-05","0.00285133"
"113.88","0.00267894","0.353186","0.00190804","0.000174898","0.00247206","7.13E-05","0.407797","0.00173166","0.229985","0.0146008","1.04E-05","0.00284751"
"114.062","0.00266053","0.353461","0.00189682","0.000173834","0.00245653","7.09E-05","0.407465","0.00173189","0.230088","0.0146028","1.04E-05","0.00284369"
"114.245","0.00264226","0.353736","0.00188569","0.000172778","0.00244112","7.05E-05","0.407134","0.00173211","0.230191","0.0146048","1.04E-05","0.00283989"
"114.427","0.00262413","0.354011","0.00187464","0.00017173","0.00242583","7.00E-05","0.406802","0.00173233","0.230294","0.0146068","1.04E-05","0.0028361"
"114.61","0.00260614","0.354285","0.00186367","0.00017069","0.00241066","6.96E-05","0.40647","0.00173255","0.230396","0.0146088","1.04E-05","0.00283232"
"114.793","0.00258828","0.35456","0.00185278","0.000169658","0.00239561","6.92E-05","0.406138","0.00173277","0.230499","0.0146108","1.04E-05","0.00282856"
"114.975","0.00257055","0.354835","0.00184198","0.000168633","0.00238068","6.87E-05","0.405806","0.00173299","0.230601","0.0146128","1.04E-05","0.0028248"
"115.157","0.00255296","0.355109","0.00183125","0.000167617","0.00236586","6.83E-05","0.405474","0.00173321","0.230704","0.0146147","1.04E-05","0.00282106"
"115.34","0.0025355","0.355384","0.00182061","0.000166608","0.00235116","6.79E-05","0.405141","0.00173342","0.230806","0.0146167","1.04E-05","0.00281733"
"115.523","0.00251817","0.355658","0.00181005","0.000165608","0.00233657","6.75E-05","0.404808","0.00173364","0.230908","0.0146186","1.04E-05","0.00281361"
"115.705","0.00250097","0.355932","0.00179956","0.000164614","0.0023221","6.71E-05","0.404475","0.00173385","0.23101","0.0146205","1.04E-05","0.0028099"
"115.888","0.0024839","0.356206","0.00178915","0.000163629","0.00230774","6.67E-05","0.404142","0.00173406","0.231112","0.0146225","1.04E-05","0.00280621"
"116.07","0.00246696","0.356481","0.00177882","0.00016265","0.00229349","6.63E-05","0.403809","0.00173427","0.231214","0.0146244","1.04E-05","0.00280252"
"116.252","0.00245014","0.356755","0.00176857","0.00016168","0.00227935","6.59E-05","0.403476","0.00173448","0.231315","0.0146263","1.04E-05","0.00279885"
"116.435","0.00243345","0.357029","0.00175839","0.000160716","0.00226532","6.55E-05","0.403142","0.00173469","0.231417","0.0146281","1.04E-05","0.00279518"
"116.618","0.00241689","0.357303","0.00174829","0.00015976","0.0022514","6.51E-05","0.402808","0.00173489","0.231518","0.01463","1.04E-05","0.00279153"
"116.8","0.00240045","0.357576","0.00173826","0.000158811","0.00223758","6.47E-05","0.402475","0.0017351","0.23162","0.0146319","1.04E-05","0.00278789"
"116.983","0.00238413","0.35785","0.0017283","0.000157869","0.00222387","6.43E-05","0.402141","0.0017353","0.231721","0.0146337","1.04E-05","0.00278426"
"117.165","0.00236794","0.358124","0.00171842","0.000156935","0.00221027","6.39E-05","0.401807","0.0017355","0.231822","0.0146356","1.04E-05","0.00278064"
"117.347","0.00235186","0.358398","0.00170862","0.000156007","0.00219677","6.35E-05","0.401472","0.0017357","0.231923","0.0146374","1.04E-05","0.00277703"
"117.53","0.00233591","0.358671","0.00169888","0.000155087","0.00218338","6.31E-05","0.401138","0.0017359","0.232024","0.0146392","1.04E-05","0.00277344"
"117.713","0.00232007","0.358945","0.00168922","0.000154173","0.00217009","6.27E-05","0.400804","0.0017361","0.232125","0.014641","1.04E-05","0.00276985"
"117.895","0.00230436","0.359218","0.00167963","0.000153266","0.0021569","6.24E-05","0.400469","0.0017363","0.232226","0.0146428","1.04E-05","0.00276627"
"118.078","0.00228876","0.359491","0.00167011","0.000152366","0.00214382","6.20E-05","0.400135","0.0017365","0.232326","0.0146446","1.04E-05","0.0027627"
"118.26","0.00227328","0.359764","0.00166065","0.000151473","0.00213083","6.16E-05","0.3998","0.00173669","0.232427","0.0146464","1.04E-05","0.00275915"
"118.443","0.00225791","0.360037","0.00165127","0.000150586","0.00211794","6.13E-05","0.399465","0.00173689","0.232527","0.0146482","1.04E-05","0.0027556"
"118.625","0.00224266","0.36031","0.00164196","0.000149707","0.00210515","6.09E-05","0.39913","0.00173708","0.232628","0.01465","1.04E-05","0.00275207"
"118.808","0.00222752","0.360583","0.00163271","0.000148833","0.00209246","6.05E-05","0.398795","0.00173727","0.232728","0.0146517","1.04E-05","0.00274854"
"118.99","0.0022125","0.360856","0.00162353","0.000147966","0.00207987","6.02E-05","0.39846","0.00173746","0.232828","0.0146535","1.04E-05","0.00274502"
"119.172","0.00219759","0.361129","0.00161442","0.000147106","0.00206737","5.98E-05","0.398125","0.00173765","0.232928","0.0146552","1.04E-05","0.00274152"
"119.355","0.00218279","0.361401","0.00160538","0.000146252","0.00205497","5.95E-05","0.397789","0.00173784","0.233028","0.0146569","1.04E-05","0.00273802"
"119.538","0.0021681","0.361674","0.0015964","0.000145405","0.00204266","5.91E-05","0.397454","0.00173803","0.233128","0.0146587","1.04E-05","0.00273454"
"119.72","0.00215352","0.361946","0.00158749","0.000144564","0.00203045","5.88E-05","0.397118","0.00173821","0.233228","0.0146604","1.04E-05","0.00273106"
"119.903","0.00213905","0.362219","0.00157864","0.000143729","0.00201833","5.84E-05","0.396783","0.0017384","0.233328","0.0146621","1.04E-05","0.00272759"
"120.085","0.00212468","0.362491","0.00156985","0.0001429","0.0020063","5.81E-05","0.396447","0.00173858","0.233427","0.0146638","1.04E-05","0.00272414"
"120.268","0.00211043","0.362763","0.00156113","0.000142077","0.00199436","5.77E-05","0.396112","0.00173876","0.233527","0.0146655","1.04E-05","0.00272069"
"120.45","0.00209628","0.363035","0.00155248","0.000141261","0.00198251","5.74E-05","0.395776","0.00173895","0.233626","0.0146671","1.04E-05","0.00271725"
"120.633","0.00208224","0.363307","0.00154388","0.00014045","0.00197075","5.71E-05","0.39544","0.00173913","0.233725","0.0146688","1.04E-05","0.00271382"
"120.815","0.0020683","0.363579","0.00153535","0.000139646","0.00195908","5.67E-05","0.395104","0.00173931","0.233825","0.0146705","1.04E-05","0.0027104"
"120.998","0.00205446","0.36385","0.00152688","0.000138847","0.0019475","5.64E-05","0.394768","0.00173949","0.233924","0.0146721","1.04E-05","0.00270699"
"121.18","0.00204073","0.364122","0.00151847","0.000138055","0.00193601","5.61E-05","0.394432","0.00173966","0.234023","0.0146738","1.04E-05","0.00270359"
"121.363","0.0020271","0.364393","0.00151012","0.000137268","0.0019246","5.57E-05","0.394096","0.00173984","0.234122","0.0146754","1.04E-05","0.0027002"
"121.545","0.00201357","0.364665","0.00150183","0.000136487","0.00191328","5.54E-05","0.39376","0.00174002","0.23422","0.014677","1.04E-05","0.00269681"
"121.728","0.00200015","0.364936","0.0014936","0.000135712","0.00190204","5.51E-05","0.393424","0.00174019","0.234319","0.0146786","1.04E-05","0.00269344"
"121.91","0.00198682","0.365207","0.00148543","0.000134942","0.00189089","5.48E-05","0.393088","0.00174036","0.234418","0.0146802","1.04E-05","0.00269007"
"122.093","0.00197359","0.365478","0.00147732","0.000134179","0.00187982","5.45E-05","0.392752","0.00174054","0.234516","0.0146818","1.04E-05","0.00268672"
"122.275","0.00196046","0.365749","0.00146927","0.00013342","0.00186884","5.42E-05","0.392415","0.00174071","0.234615","0.0146834","1.04E-05","0.00268337"
"122.458","0.00194743","0.36602","0.00146127","0.000132668","0.00185793","5.38E-05","0.392079","0.00174088","0.234713","0.014685","1.04E-05","0.00268003"
"122.64","0.0019345","0.366291","0.00145333","0.00013192","0.00184711","5.35E-05","0.391743","0.00174105","0.234811","0.0146866","1.04E-05","0.0026767"
"122.823","0.00192166","0.366561","0.00144545","0.000131179","0.00183637","5.32E-05","0.391406","0.00174122","0.234909","0.0146882","1.04E-05","0.00267338"
"123.005","0.00190892","0.366832","0.00143762","0.000130442","0.00182571","5.29E-05","0.39107","0.00174138","0.235007","0.0146897","1.04E-05","0.00267006"
"123.188","0.00189627","0.367102","0.00142986","0.000129712","0.00181513","5.26E-05","0.390734","0.00174155","0.235105","0.0146913","1.04E-05","0.00266676"
"123.37","0.00188372","0.367372","0.00142214","0.000128986","0.00180463","5.23E-05","0.390397","0.00174172","0.235203","0.0146928","1.04E-05","0.00266346"
"123.553","0.00187126","0.367642","0.00141448","0.000128266","0.00179421","5.20E-05","0.390061","0.00174188","0.235301","0.0146944","1.04E-05","0.00266017"
"123.735","0.00185889","0.367912","0.00140688","0.000127551","0.00178386","5.17E-05","0.389724","0.00174204","0.235399","0.0146959","1.04E-05","0.00265689"
"123.918","0.00184662","0.368182","0.00139933","0.000126841","0.00177359","5.14E-05","0.389388","0.00174221","0.235496","0.0146974","1.04E-05","0.00265362"
"124.1","0.00183443","0.368452","0.00139183","0.000126136","0.0017634","5.11E-05","0.389051","0.00174237","0.235594","0.0146989","1.04E-05","0.00265036"
"124.283","0.00182234","0.368721","0.00138439","0.000125436","0.00175328","5.09E-05","0.388715","0.00174253","0.235691","0.0147004","1.04E-05","0.0026471"
"124.465","0.00181034","0.368991","0.00137699","0.000124742","0.00174324","5.06E-05","0.388379","0.00174269","0.235788","0.0147019","1.04E-05","0.00264386"
"124.648","0.00179843","0.36926","0.00136966","0.000124052","0.00173327","5.03E-05","0.388042","0.00174285","0.235885","0.0147034","1.04E-05","0.00264062"
"124.83","0.0017866","0.369529","0.00136237","0.000123368","0.00172338","5.00E-05","0.387706","0.00174301","0.235983","0.0147049","1.04E-05","0.00263738"
"125.013","0.00177487","0.369798","0.00135513","0.000122688","0.00171356","4.97E-05","0.387369","0.00174317","0.23608","0.0147064","1.04E-05","0.00263416"
"125.195","0.00176322","0.370067","0.00134795","0.000122014","0.00170381","4.94E-05","0.387033","0.00174332","0.236176","0.0147079","1.04E-05","0.00263094"
