Sp,Lp,Ip,Sv,Iv
0.65,0.25,0.1,0.5,0.5
0.653433,0.249668,0.0968992,0.50995,0.49005
0.654942,0.24972,0.0953376,0.518906,0.481094
0.636917,0.254377,0.108705,0.526966,0.473034
0.648219,0.252179,0.0996023,0.534212,0.465788
0.661951,0.249245,0.0888045,0.540737,0.459263
0.654122,0.251454,0.0944238,0.546616,0.453384
0.6537,0.251752,0.0945483,0.551902,0.448098
0.623534,0.2592,0.117266,0.55666,0.44334
0.672002,0.249133,0.0788645,0.560929,0.439071
0.631513,0.260345,0.108142,0.564792,0.435208
0.60536,0.266192,0.128448,0.568251,0.431749
0.60288,0.266595,0.130525,0.571353,0.428647
0.591043,0.268807,0.14015,0.574143,0.425857
0.594903,0.267926,0.137171,0.576649,0.423351
0.538278,0.278484,0.183237,0.578905,0.421095
0.50278,0.283563,0.213656,0.580908,0.419092
0.47228,0.287216,0.240505,0.582693,0.417307
0.446012,0.289846,0.264142,0.584284,0.415716
0.385734,0.296075,0.318192,0.585701,0.414299
0.464252,0.287199,0.248549,0.586945,0.413055
0.448147,0.288462,0.263391,0.588104,0.411896
0.503888,0.281255,0.214857,0.589139,0.410861
0.499222,0.281353,0.219425,0.590098,0.409902
0.522893,0.277656,0.199451,0.590959,0.409041
0.505913,0.27962,0.214467,0.591745,0.408255
0.547652,0.27347,0.178878,0.592444,0.407556
0.55123,0.27255,0.17622,0.593093,0.406907
0.579747,0.267747,0.152506,0.59368,0.40632
0.645911,0.256015,0.0980735,0.594221,0.405779
0.634556,0.258621,0.106823,0.594741,0.405259
0.617997,0.262216,0.119787,0.595203,0.404797
0.650213,0.255368,0.0944191,0.595612,0.404388
0.635362,0.258898,0.10574,0.595994,0.404006
0.647547,0.256007,0.0964455,0.596332,0.403668
0.632459,0.259534,0.108007,0.596641,0.403359
0.641848,0.257297,0.100855,0.596912,0.403088
0.604333,0.265943,0.129725,0.597161,0.402839
0.59934,0.266698,0.133962,0.597367,0.402633
0.598843,0.266553,0.134604,0.597551,0.402449
0.625026,0.261302,0.113673,0.597715,0.402285
0.634913,0.259003,0.106084,0.597876,0.402124
0.606896,0.265189,0.127915,0.598025,0.401975
0.624099,0.261552,0.114349,0.598146,0.401854
0.605014,0.265476,0.129509,0.598263,0.401737
0.562304,0.273655,0.164041,0.598359,0.401641
0.512965,0.281486,0.205548,0.598425,0.401575
0.465162,0.287656,0.247181,0.598459,0.401541
0.520391,0.280172,0.199436,0.598466,0.401534
0.491825,0.283756,0.224419,0.5985,0.4015
0.50249,0.281726,0.215784,0.598515,0.401485
0.473799,0.285016,0.241185,0.598535,0.401465
0.489663,0.282362,0.227975,0.598537,0.401463
0.479176,0.283092,0.237732,0.598547,0.401453
0.546153,0.27409,0.179757,0.59855,0.40145
0.515756,0.278371,0.205873,0.598587,0.401413
0.496398,0.280547,0.223055,0.598605,0.401395
0.533639,0.275094,0.191267,0.598611,0.401389
0.498464,0.279811,0.221724,0.598636,0.401364
0.491329,0.280172,0.228498,0.598639,0.401361
0.547543,0.272391,0.180066,0.598639,0.401361
0.550487,0.271555,0.177958,0.598667,0.401333
0.560243,0.26968,0.170077,0.598694,0.401306
0.565091,0.268575,0.166334,0.598723,0.401277
0.552138,0.270359,0.177503,0.598751,0.401249
0.598931,0.262797,0.138271,0.598769,0.401231
0.604105,0.261639,0.134257,0.59881,0.40119
0.62903,0.256746,0.114224,0.598848,0.401152
0.55419,0.27248,0.17333,0.598895,0.401105
0.555263,0.271936,0.172801,0.598902,0.401098
0.526699,0.276091,0.19721,0.598908,0.401092
0.513813,0.277469,0.208717,0.598899,0.401101
0.510055,0.277471,0.212474,0.598884,0.401116
0.568242,0.269093,0.162665,0.598869,0.401131
0.520613,0.276642,0.202745,0.598884,0.401116
0.556181,0.271166,0.172653,0.598874,0.401126
0.625031,0.259928,0.115041,0.598884,0.401116
0.603005,0.264456,0.132539,0.598926,0.401074
0.610062,0.262878,0.12706,0.598954,0.401046
0.652343,0.2543,0.093357,0.598983,0.401017
0.636077,0.258193,0.10573,0.599029,0.400971
0.670436,0.250292,0.0792724,0.599062,0.400938
0.671174,0.250004,0.0788218,0.599109,0.400891
0.681881,0.246977,0.071142,0.599151,0.400849
0.690644,0.244333,0.0650229,0.599193,0.400807
0.665718,0.251988,0.0822943,0.599235,0.400765
