Sp,Lp,Ip,Sv,Iv
0.65,0.25,0.1,0.5,0.5
0.610296,0.259592,0.130112,0.50995,0.49005
0.643163,0.253547,0.10329,0.518889,0.481111
0.645153,0.253414,0.101433,0.526946,0.473054
0.644348,0.253877,0.101776,0.534198,0.465802
0.651762,0.25241,0.0958284,0.540724,0.459276
0.645272,0.254178,0.10055,0.5466,0.4534
0.646095,0.254156,0.0997492,0.551885,0.448115
0.589265,0.267564,0.143171,0.556641,0.443359
0.59975,0.265586,0.134664,0.560897,0.439103
0.562174,0.272704,0.165122,0.564732,0.435268
0.559877,0.27288,0.167242,0.568166,0.431834
0.532229,0.277168,0.190604,0.571254,0.428746
0.473589,0.285508,0.240903,0.57402,0.42598
0.48994,0.282885,0.227175,0.57648,0.42352
0.48029,0.283603,0.236108,0.578701,0.421299
0.444238,0.287553,0.268209,0.580694,0.419306
0.460328,0.284995,0.254677,0.582469,0.417531
0.372205,0.294727,0.333067,0.584074,0.415926
0.278537,0.302641,0.418821,0.585472,0.414528
0.273258,0.301609,0.425133,0.586679,0.413321
0.306165,0.297571,0.396264,0.587762,0.412238
0.332972,0.294049,0.372979,0.588753,0.411247
0.371655,0.289527,0.338818,0.589658,0.410342
0.283587,0.29667,0.419744,0.590492,0.409508
0.32764,0.291843,0.380518,0.591195,0.408805
0.309589,0.292161,0.39825,0.591851,0.408149
0.31208,0.290695,0.397225,0.59243,0.40757
0.356054,0.285912,0.358034,0.592952,0.407048
0.398019,0.281204,0.320777,0.593444,0.406556
0.380672,0.281981,0.337347,0.593909,0.406091
0.353302,0.283532,0.363166,0.594318,0.405682
0.330489,0.284435,0.385076,0.59467,0.40533
0.287759,0.286769,0.425472,0.594974,0.405026
0.288194,0.285431,0.426375,0.595224,0.404776
0.293755,0.283725,0.42252,0.595448,0.404552
0.21282,0.28848,0.498701,0.595651,0.404349
0.198114,0.287834,0.514052,0.595789,0.404211
0.159135,0.288633,0.552231,0.595904,0.404096
0.168289,0.286297,0.545414,0.595984,0.404016
0.151757,0.285528,0.562715,0.596061,0.403939
0.116752,0.285729,0.597519,0.596119,0.403881
0.113042,0.283995,0.602964,0.596151,0.403849
0.119301,0.281726,0.598972,0.596177,0.403823
0.0904718,0.281369,0.628159,0.596202,0.403798
0.0991442,0.27893,0.621926,0.596207,0.403793
0.0825876,0.277827,0.639585,0.596216,0.403784
0.0830704,0.275804,0.641125,0.596213,0.403787
0.0813422,0.273908,0.64475,0.596209,0.403791
0.098223,0.271121,0.630656,0.596204,0.403796
0.123681,0.267994,0.608325,0.596208,0.403792
0.117023,0.266567,0.61641,0.596224,0.403776
0.118802,0.264707,0.616491,0.596234,0.403766
0.109508,0.26341,0.627083,0.596243,0.403757
0.11029,0.261597,0.628114,0.596245,0.403755
0.144296,0.258227,0.597477,0.596246,0.403754
0.171257,0.255304,0.573439,0.596265,0.403735
0.17044,0.253873,0.575687,0.596297,0.403703
0.167657,0.25255,0.579793,0.596324,0.403676
0.247048,0.247159,0.505793,0.596346,0.403654
0.240241,0.246418,0.513341,0.596409,0.403591
0.193314,0.247828,0.558859,0.596462,0.403538
0.219328,0.245193,0.535479,0.596483,0.403517
0.181191,0.245967,0.572841,0.596515,0.403485
0.202277,0.243583,0.55414,0.596522,0.403478
0.261679,0.239362,0.498959,0.596539,0.403461
0.300837,0.236243,0.46292,0.596588,0.403412
0.354815,0.232316,0.412869,0.596653,0.403347
