time,Interpolate_Ip
0,10.0
1,14.821735368328762
2,19.38880697712718
3,23.854013082113458
4,28.370151939005808
5,33.09002180352243
6,38.16642093138154
7,43.752147578301326
8,50.0
9,57.01671877571074
10,64.72481377872654
11,73.0007372058554
12,81.72094125390528
13,90.76187811968414
14,100.0
15,109.30952173219534
16,118.55570871575082
17,127.60158899068168
18,136.31019059700304
19,144.54454157473015
20,152.1676699638782
21,159.0426038044624
22,165.03237113649794
23,170.0
24,174.3780581426023
25,180.87727214241252
26,192.7779082851569
27,213.36023285656162
28,245.90451214235293
29,293.691012428257
30,360.0
31,445.99820860613454
32,544.398241846518
33,645.7991707838341
34,740.800066480767
35,820.0
36,876.3270823352634
37,912.0255842044727
38,931.6688162565893
39,939.830089140575
40,941.0827135053912
41,940.0
42,940.323104182533
43,942.4645612478035
44,946.0047512997953
45,950.5240544424921
46,955.6028507798773
47,960.8215204159345
48,965.7604434546475
49,970.0
