Sp,Lp,Ip,Sv,Iv
0.65,0.25,0.1,0.5,0.5
0.631538,0.254705,0.113757,0.50995,0.49005
0.651142,0.250921,0.0979372,0.518897,0.481103
0.632125,0.255726,0.112148,0.526956,0.473044
0.638413,0.254634,0.106953,0.534202,0.465798
0.635525,0.255505,0.10897,0.540724,0.459276
0.626776,0.257608,0.115616,0.546593,0.453407
0.628462,0.257386,0.114152,0.551871,0.448129
0.675618,0.247485,0.0768967,0.556621,0.443379
0.672978,0.248369,0.0786531,0.560916,0.439084
0.687742,0.244447,0.0678113,0.56478,0.43522
0.666236,0.251031,0.082733,0.568264,0.431736
0.626555,0.261658,0.111788,0.57139,0.42861
0.65008,0.256471,0.0934491,0.574187,0.425813
0.643837,0.258004,0.0981597,0.576715,0.423285
0.638874,0.259156,0.10197,0.578987,0.421013
0.637072,0.25952,0.103408,0.581029,0.418971
0.621158,0.263123,0.115719,0.582866,0.417134
0.59234,0.269163,0.138497,0.584512,0.415488
0.626198,0.262567,0.111234,0.58598,0.41402
0.624318,0.262854,0.112828,0.587317,0.412683
0.619395,0.263789,0.116816,0.588519,0.411481
0.645588,0.258067,0.0963446,0.589598,0.410402
0.673133,0.251287,0.0755803,0.590582,0.409418
0.674615,0.250795,0.0745905,0.591479,0.408521
0.71822,0.238222,0.0435578,0.592287,0.407713
0.666839,0.258389,0.0747713,0.593032,0.406968
0.642272,0.265392,0.0923359,0.593685,0.406315
0.591717,0.278097,0.130187,0.594261,0.405739
0.554468,0.285304,0.160227,0.594758,0.405242
0.576719,0.280905,0.142375,0.595187,0.404813
0.59142,0.277683,0.130898,0.595583,0.404417
0.609404,0.273675,0.116921,0.595947,0.404053
0.641863,0.266263,0.0918742,0.596283,0.403717
0.658482,0.261741,0.0797772,0.5966,0.4034
0.615831,0.273534,0.110634,0.596892,0.403108
0.623559,0.27145,0.104991,0.597137,0.402863
0.608566,0.27469,0.116744,0.59736,0.40264
0.625616,0.270611,0.103772,0.597555,0.402445
0.627856,0.269787,0.102357,0.597737,0.402263
0.584549,0.279878,0.135572,0.597902,0.402098
0.627282,0.27101,0.101709,0.598031,0.401969
0.639876,0.267667,0.0924575,0.598167,0.401833
0.611579,0.274668,0.113752,0.598295,0.401705
0.644457,0.266964,0.0885793,0.598398,0.401602
0.633247,0.26966,0.0970925,0.598505,0.401495
0.663514,0.261825,0.0746611,0.598596,0.401404
0.666389,0.260726,0.0728842,0.598692,0.401308
0.673675,0.258301,0.0680235,0.598779,0.401221
0.660915,0.26205,0.0770345,0.59886,0.40114
0.68134,0.255902,0.0627586,0.598928,0.401072
0.685573,0.254281,0.060146,0.598998,0.401002
0.669031,0.259605,0.0713648,0.599062,0.400938
0.68778,0.253686,0.0585337,0.599113,0.400887
0.66588,0.260926,0.073194,0.599167,0.400833
0.652094,0.264798,0.0831076,0.599206,0.400794
0.67102,0.259317,0.069663,0.599236,0.400764
0.612856,0.276985,0.11016,0.59927,0.40073
0.603409,0.278791,0.1178,0.599277,0.400723
0.647641,0.268641,0.0837182,0.599279,0.400721
0.608878,0.279076,0.112045,0.599301,0.400699
0.588461,0.283358,0.128181,0.599304,0.400696
0.641755,0.271762,0.086483,0.599297,0.400703
0.612361,0.279445,0.108194,0.599315,0.400685
0.592549,0.283709,0.123741,0.599319,0.400681
0.619898,0.277366,0.102736,0.599313,0.400687
0.620532,0.276825,0.102644,0.59932,0.40068
0.650048,0.26925,0.0807028,0.599326,0.400674
0.675176,0.261759,0.0630651,0.599345,0.400655
0.676124,0.261136,0.06274,0.599373,0.400627
0.673948,0.261555,0.0644968,0.599398,0.400602
0.651871,0.268464,0.0796649,0.59942,0.40058
0.649307,0.26888,0.0818128,0.59943,0.40057
0.609168,0.279881,0.11095,0.599438,0.400562
0.618733,0.277252,0.104015,0.599428,0.400572
0.619895,0.276586,0.103519,0.599422,0.400578
0.680273,0.261595,0.0581318,0.599418,0.400582
0.695202,0.256034,0.0487638,0.599442,0.400558
0.696518,0.255179,0.048303,0.599468,0.400532
0.687786,0.258217,0.0539973,0.599492,0.400508
0.666472,0.26564,0.067888,0.599511,0.400489
0.648917,0.270901,0.0801819,0.599519,0.400481
0.63765,0.273791,0.0885585,0.599519,0.400481
0.625032,0.276831,0.0981371,0.599514,0.400486
0.659306,0.267803,0.0728911,0.599504,0.400496
0.610463,0.282369,0.107168,0.59951,0.40049
0.581791,0.288788,0.129421,0.599494,0.400506
0.553786,0.294157,0.152057,0.599467,0.400533
0.552864,0.293715,0.153421,0.59943,0.40057
0.528383,0.297663,0.173954,0.599395,0.400605
0.489004,0.303656,0.207339,0.599351,0.400649
0.569371,0.290847,0.139782,0.599292,0.400708
0.527325,0.298661,0.174014,0.599279,0.400721
0.58843,0.287555,0.124015,0.599246,0.400754
0.555012,0.294299,0.150689,0.599248,0.400752
0.596442,0.285844,0.117714,0.599232,0.400768
0.606669,0.283057,0.110274,0.599239,0.400761
0.615654,0.280495,0.103852,0.599249,0.400751
0.604614,0.282763,0.112622,0.599262,0.400738
0.645445,0.27289,0.081665,0.599268,0.400732
0.678531,0.263077,0.0583918,0.599292,0.400708
0.686203,0.260036,0.0537615,0.599328,0.400672
0.677959,0.262703,0.0593384,0.599363,0.400637
0.658706,0.26902,0.0722743,0.599391,0.400609
0.681738,0.261573,0.0566894,0.599409,0.400591
0.674254,0.263883,0.0618627,0.599434,0.400566
0.688393,0.258764,0.0528425,0.599453,0.400547
0.667359,0.266185,0.0664558,0.599476,0.400524
0.652875,0.270527,0.0765979,0.599489,0.400511
0.667466,0.265838,0.0666956,0.599494,0.400506
0.674117,0.26335,0.0625328,0.599505,0.400495
0.69959,0.254488,0.0459221,0.599517,0.400483
0.702482,0.24762,0.0498986,0.599538,0.400462
0.713267,0.237936,0.0487967,0.599554,0.400446
0.740084,0.222688,0.0372279,0.599569,0.400431
0.750259,0.213845,0.0358958,0.59959,0.40041
0.754872,0.207596,0.0375323,0.599609,0.400391
0.777747,0.19427,0.0279829,0.599626,0.400374
0.7834,0.188459,0.0281407,0.599647,0.400353
0.79516,0.180117,0.0247238,0.599665,0.400335
0.787965,0.180649,0.031386,0.599684,0.400316
0.800699,0.172453,0.026848,0.599697,0.400303
0.789704,0.174539,0.0357569,0.599711,0.400289
0.810129,0.164075,0.0257959,0.599718,0.400282
0.812305,0.160681,0.027014,0.599731,0.400269
0.818825,0.155578,0.0255974,0.599742,0.400258
0.801947,0.160447,0.0376057,0.599752,0.400248
0.78436,0.163814,0.0518262,0.599754,0.400246
0.792424,0.158742,0.0488343,0.599748,0.400252
0.792677,0.156004,0.0513186,0.599744,0.400256
0.785001,0.155443,0.0595555,0.599739,0.400261
0.79498,0.150403,0.0546179,0.599729,0.400271
0.794739,0.148006,0.0572551,0.599723,0.400277
0.824824,0.138506,0.0366697,0.599717,0.400283
0.845208,0.130263,0.0245289,0.599723,0.400277
0.825206,0.136501,0.0382931,0.599736,0.400264
0.830803,0.132973,0.0362242,0.599739,0.400261
0.826413,0.132585,0.0410012,0.599744,0.400256
0.841976,0.126493,0.0315311,0.599745,0.400255
0.853949,0.12113,0.0249211,0.599751,0.400249
0.850776,0.121029,0.0281951,0.599761,0.400239
0.870361,0.1131,0.0165391,0.599768,0.400232
0.863764,0.115088,0.021148,0.599782,0.400218
0.881593,0.106999,0.0114071,0.599791,0.400209
0.862313,0.116392,0.0212954,0.599805,0.400195
0.866416,0.113669,0.0199145,0.599812,0.400188
0.86045,0.115075,0.024475,0.599818,0.400182
0.852837,0.116732,0.030431,0.599822,0.400178
0.855943,0.114587,0.0294695,0.599821,0.400179
0.858866,0.112566,0.0285683,0.599822,0.400178
0.851741,0.113822,0.0344364,0.599822,0.400178
0.856438,0.111398,0.0321641,0.599819,0.400181
0.870587,0.106253,0.02316,0.599818,0.400182
0.87375,0.104329,0.0219215,0.599823,0.400177
0.861167,0.10815,0.0306833,0.599827,0.400173
0.862935,0.106737,0.0303287,0.599826,0.400174
0.884236,0.0995886,0.0161757,0.599825,0.400175
0.877168,0.101989,0.0208427,0.599833,0.400167
0.890473,0.0964124,0.0131144,0.599837,0.400163
0.892713,0.0948505,0.0124366,0.599846,0.400154
0.886678,0.0972535,0.0160683,0.599854,0.400146
0.878727,0.100064,0.0212089,0.599859,0.400141
0.859144,0.106519,0.0343374,0.59986,0.40014
0.849979,0.108151,0.0418702,0.599853,0.400147
0.86465,0.103759,0.0315908,0.599843,0.400157
0.860063,0.104308,0.0356292,0.59984,0.40016
0.879891,0.098394,0.021715,0.599834,0.400166
0.870155,0.101261,0.0285837,0.599838,0.400162
0.86207,0.103013,0.0349171,0.599837,0.400163
0.83862,0.108399,0.0529814,0.599832,0.400168
0.820676,0.110943,0.0683806,0.599817,0.400183
0.809975,0.111543,0.0784818,0.599795,0.400205
0.815019,0.109609,0.0753715,0.599768,0.400232
0.816222,0.108316,0.0754612,0.599746,0.400254
0.820909,0.106565,0.0725261,0.599726,0.400274
0.828909,0.104384,0.0667063,0.59971,0.40029
0.852907,0.0997231,0.0473702,0.599699,0.400301
0.860946,0.0974661,0.0415877,0.599701,0.400299
0.828237,0.10408,0.0676824,0.599706,0.400294
0.848757,0.100022,0.0512207,0.599695,0.400305
0.84727,0.099641,0.0530893,0.599694,0.400306
0.852373,0.098052,0.0495753,0.599693,0.400307
0.855398,0.0968895,0.0477129,0.599694,0.400306
0.884493,0.0906712,0.0248358,0.599696,0.400304
0.895232,0.0871173,0.0176503,0.599712,0.400288
0.89298,0.0877511,0.0192685,0.59973,0.40027
0.879668,0.0922307,0.0281015,0.599745,0.400255
0.8828,0.0910064,0.0261935,0.599754,0.400246
0.88433,0.0902564,0.0254135,0.599763,0.400237
0.864637,0.0958485,0.0395146,0.599771,0.400229
0.877903,0.0923867,0.0297106,0.59977,0.40023
