Sp,Lp,Ip,Sv,Iv
0.65,0.25,0.1,0.5,0.5
0.606516,0.260462,0.133023,0.50995,0.49005
0.614281,0.259258,0.12646,0.518887,0.481113
0.572186,0.267789,0.160025,0.526933,0.473067
0.58476,0.265744,0.149496,0.534155,0.465845
0.580012,0.266637,0.153351,0.54066,0.45934
0.569583,0.268443,0.161974,0.546511,0.453489
0.569639,0.268379,0.161982,0.551771,0.448229
0.52766,0.275239,0.197101,0.556505,0.443495
0.555504,0.27099,0.173506,0.560745,0.439255
0.482497,0.282297,0.235206,0.564573,0.435427
0.451947,0.285633,0.26242,0.567983,0.432017
0.451076,0.285096,0.263829,0.571035,0.428965
0.441641,0.285528,0.272831,0.573781,0.426219
0.419786,0.287266,0.292948,0.576247,0.423753
0.45808,0.28246,0.25946,0.578453,0.421547
0.525028,0.274122,0.20085,0.580458,0.419542
0.53763,0.271985,0.190384,0.582295,0.417705
0.515961,0.274819,0.209219,0.583955,0.416045
0.576975,0.266125,0.1569,0.585437,0.414563
0.600867,0.261896,0.137237,0.586802,0.413198
0.590471,0.263696,0.145833,0.588041,0.411959
0.649663,0.253009,0.0973281,0.589151,0.410849
0.595321,0.265859,0.138819,0.590179,0.409821
0.600848,0.264631,0.134521,0.591079,0.408921
0.573379,0.269676,0.156945,0.591892,0.408108
0.562568,0.27124,0.166192,0.592609,0.407391
0.546948,0.273473,0.179579,0.59325,0.40675
0.542149,0.273839,0.184012,0.593818,0.406182
0.546003,0.272868,0.181129,0.594327,0.405673
0.562081,0.270042,0.167877,0.594787,0.405213
0.507284,0.278564,0.214152,0.595208,0.404792
0.44713,0.286133,0.266737,0.59556,0.40444
0.435881,0.286645,0.277474,0.595845,0.404155
0.463037,0.282854,0.254109,0.596095,0.403905
0.405724,0.288893,0.305382,0.596334,0.403666
0.425201,0.285991,0.288808,0.596519,0.403481
0.508532,0.276336,0.215132,0.596695,0.403305
0.509689,0.275677,0.214634,0.596897,0.403103
0.473985,0.279931,0.246084,0.597079,0.402921
0.47452,0.279232,0.246248,0.597224,0.402776
0.545827,0.270094,0.184079,0.597355,0.402645
0.554371,0.268461,0.177168,0.597509,0.402491
0.526004,0.272486,0.20151,0.597652,0.402348
0.480776,0.27835,0.240873,0.597767,0.402233
0.459011,0.280388,0.260601,0.597846,0.402154
0.474016,0.277992,0.247992,0.597906,0.402094
0.502515,0.274005,0.22348,0.597967,0.402033
0.42102,0.283918,0.295062,0.598037,0.401963
0.491012,0.275863,0.233126,0.598056,0.401944
0.499761,0.274226,0.226014,0.598111,0.401889
0.452089,0.27975,0.268161,0.598165,0.401835
0.483873,0.275524,0.240603,0.598188,0.401812
0.429981,0.281443,0.288576,0.598225,0.401775
0.480198,0.275415,0.244387,0.59823,0.40177
0.481709,0.274656,0.243635,0.598261,0.401739
0.488197,0.273318,0.238484,0.598289,0.401711
0.50303,0.270995,0.225975,0.598318,0.401682
0.478555,0.273589,0.247856,0.598351,0.401649
0.563443,0.263129,0.173429,0.598367,0.401633
0.609151,0.255858,0.134991,0.598427,0.401573
0.643236,0.249455,0.107309,0.598503,0.401497
0.681717,0.241066,0.077217,0.598589,0.401411
0.683955,0.240488,0.075557,0.598684,0.401316
0.655593,0.248335,0.0960714,0.59877,0.40123
0.664497,0.246214,0.0892893,0.598836,0.401164
0.636994,0.253027,0.109979,0.598898,0.401102
0.651491,0.249832,0.0986776,0.598943,0.401057
0.654831,0.249019,0.0961502,0.598989,0.401011
0.652124,0.249629,0.098247,0.599033,0.400967
0.642872,0.251749,0.105379,0.599071,0.400929
0.638958,0.252563,0.108479,0.599101,0.400899
0.643741,0.251457,0.104801,0.599125,0.400875
0.62874,0.254748,0.116512,0.59915,0.40085
0.646726,0.250931,0.102343,0.599165,0.400835
0.633095,0.253972,0.112933,0.599187,0.400813
0.643782,0.251627,0.104591,0.599201,0.400799
0.668012,0.246161,0.0858273,0.599218,0.400782
0.656458,0.249097,0.0944453,0.599245,0.400755
0.662148,0.247698,0.0901539,0.599264,0.400736
0.647582,0.251274,0.101143,0.599284,0.400716
0.628714,0.25554,0.115746,0.599295,0.400705
0.577307,0.266172,0.156521,0.599296,0.400704
0.545775,0.271229,0.182996,0.599272,0.400728
0.527272,0.273635,0.199093,0.599235,0.400765
0.554097,0.269406,0.176497,0.599193,0.400807
0.548828,0.269876,0.181297,0.599168,0.400832
0.542731,0.270438,0.186831,0.599142,0.400858
0.501734,0.276108,0.222157,0.599116,0.400884
