Sp,Lp,Ip,Sv,Iv
0.65,0.25,0.1,0.5,0.5
0.676827,0.244286,0.078887,0.50995,0.49005
0.690166,0.241114,0.0687198,0.518915,0.481085
0.684207,0.243256,0.0725366,0.526988,0.473012
0.694029,0.240779,0.065192,0.534251,0.465749
0.723397,0.232075,0.0445285,0.540791,0.459209
0.722268,0.232688,0.0450437,0.546688,0.453312
0.71943,0.233924,0.0466456,0.551994,0.448006
0.699724,0.241441,0.058835,0.556769,0.443231
0.746651,0.226126,0.0272228,0.561059,0.438941
0.750327,0.224144,0.0255297,0.564938,0.435062
0.75764,0.220214,0.0221454,0.56843,0.43157
0.775195,0.210435,0.0143703,0.571574,0.428426
0.804359,0.191437,0.00420401,0.574409,0.425591
0.789318,0.203212,0.0074692,0.576965,0.423035
0.794595,0.198396,0.00700908,0.579265,0.420735
0.794761,0.197503,0.00773626,0.581334,0.418666
0.789017,0.201126,0.00985696,0.583196,0.416804
0.808949,0.186387,0.00466419,0.584871,0.415129
0.811203,0.183678,0.00511887,0.586381,0.413619
0.802095,0.19029,0.00761492,0.58774,0.41226
0.801378,0.190188,0.00843455,0.588961,0.411039
0.791638,0.196711,0.0116506,0.59006,0.40994
0.793299,0.195143,0.0115576,0.591047,0.408953
0.800222,0.190069,0.00970945,0.591936,0.408064
0.797418,0.191535,0.011047,0.592736,0.407264
0.798061,0.190667,0.0112719,0.593456,0.406544
0.789478,0.195998,0.0145242,0.594104,0.405896
0.779664,0.201746,0.0185899,0.594685,0.405315
0.785984,0.197963,0.0160533,0.595205,0.404795
0.768078,0.208362,0.0235603,0.595675,0.404325
0.761346,0.211679,0.0269754,0.596094,0.403906
0.765602,0.209522,0.0248763,0.596468,0.403532
0.78395,0.200194,0.0158563,0.596807,0.403193
0.781061,0.201619,0.0173196,0.597116,0.402884
0.784047,0.199611,0.0163415,0.597395,0.402605
0.784426,0.199101,0.0164728,0.597645,0.402355
0.775161,0.204302,0.0205365,0.597871,0.402129
0.775232,0.204073,0.0206944,0.598072,0.401928
0.77271,0.205255,0.0220352,0.598252,0.401748
0.780943,0.200762,0.0182955,0.598414,0.401586
0.779731,0.201224,0.0190449,0.598561,0.401439
0.769969,0.206468,0.0235635,0.598694,0.401306
0.772511,0.20504,0.0224499,0.59881,0.40119
0.771789,0.205274,0.0229371,0.598916,0.401084
0.766124,0.20807,0.0258057,0.599011,0.400989
0.785078,0.198679,0.0162429,0.599094,0.400906
0.779737,0.201568,0.018695,0.599175,0.400825
0.789263,0.195981,0.0147566,0.599246,0.400754
0.778936,0.202002,0.019062,0.599313,0.400687
0.77198,0.205673,0.0223473,0.59937,0.40063
0.771726,0.20565,0.0226242,0.59942,0.40058
0.760598,0.211297,0.0281055,0.599464,0.400536
0.774931,0.204435,0.0206342,0.599501,0.400499
0.767135,0.208467,0.0243979,0.599538,0.400462
0.758681,0.212604,0.028715,0.59957,0.40043
0.758123,0.212784,0.0290931,0.599596,0.400404
0.741843,0.220301,0.0378557,0.599619,0.400381
0.754811,0.214967,0.0302226,0.599634,0.400366
0.757007,0.213876,0.0291166,0.599653,0.400347
0.768729,0.208306,0.0229656,0.59967,0.40033
0.775326,0.204701,0.0199738,0.599689,0.400311
0.776271,0.203959,0.0197701,0.599708,0.400292
0.772091,0.206048,0.0218607,0.599726,0.400274
0.770987,0.206456,0.022557,0.59974,0.40026
0.771946,0.205793,0.0222604,0.599752,0.400248
0.783993,0.199308,0.0166993,0.599764,0.400236
0.803332,0.18479,0.011878,0.599777,0.400223
0.797436,0.186043,0.0165202,0.599793,0.400207
0.780835,0.192688,0.0264769,0.599803,0.400197
0.79725,0.18158,0.0211698,0.599807,0.400193
0.790749,0.181868,0.0273833,0.599814,0.400186
0.805669,0.172028,0.0223037,0.599816,0.400184
0.817847,0.163362,0.018791,0.599821,0.400179
0.828911,0.155229,0.0158598,0.599828,0.400172
0.826371,0.154396,0.019233,0.599835,0.400165
0.835004,0.147872,0.0171249,0.59984,0.40016
0.847456,0.139472,0.0130727,0.599846,0.400154
0.842164,0.140683,0.0171538,0.599854,0.400146
0.833529,0.143055,0.023417,0.599858,0.400142
0.833376,0.141007,0.025617,0.599858,0.400142
0.825473,0.142045,0.0324817,0.599857,0.400143
0.825271,0.139871,0.0348575,0.599852,0.400148
0.839057,0.133194,0.0277495,0.599846,0.400154
0.851951,0.126844,0.0212052,0.599844,0.400156
0.857959,0.122943,0.0190979,0.599847,0.400153
0.864864,0.118673,0.0164632,0.599851,0.400149
0.855639,0.121815,0.0225464,0.599856,0.400144
0.853322,0.121456,0.0252223,0.599857,0.400143
0.857568,0.118625,0.0238063,0.599856,0.400144
0.85769,0.117396,0.0249147,0.599856,0.400144
0.859438,0.115611,0.0249515,0.599856,0.400144
0.845259,0.119563,0.035178,0.599855,0.400145
0.840983,0.11951,0.0395067,0.599849,0.400151
0.834975,0.119794,0.0452315,0.59984,0.40016
0.830638,0.119483,0.0498791,0.599829,0.400171
0.840933,0.115824,0.0432427,0.599816,0.400184
0.861834,0.10955,0.0286159,0.599808,0.400192
0.867436,0.106864,0.0256996,0.59981,0.40019
0.858641,0.108953,0.0324055,0.599814,0.400186
0.853151,0.109605,0.0372443,0.599813,0.400187
0.833896,0.113652,0.0524526,0.59981,0.40019
0.822977,0.114727,0.0622964,0.599797,0.400203
0.818919,0.114205,0.0668761,0.59978,0.40022
0.815956,0.113453,0.0705914,0.599762,0.400238
0.828275,0.110226,0.0614993,0.599743,0.400257
0.815343,0.111425,0.0732321,0.599732,0.400268
0.798835,0.11279,0.0883753,0.599715,0.400285
0.816597,0.109149,0.0742542,0.599691,0.400309
0.781931,0.113237,0.104832,0.599677,0.400323
0.755276,0.114909,0.129815,0.599646,0.400354
0.72627,0.116139,0.157591,0.599604,0.400396
0.765052,0.114707,0.120241,0.599549,0.400451
0.738246,0.115954,0.1458,0.599522,0.400478
0.75033,0.116642,0.133028,0.599482,0.400518
0.799243,0.110374,0.0903821,0.599454,0.400546
0.764447,0.113604,0.121949,0.599455,0.400545
0.752138,0.113378,0.134484,0.599436,0.400564
